starttransfer,total
0.149126,0.267933
0.132818,0.214749
0.134882,0.225055
0.131033,0.212777
0.134429,0.220100
0.139429,0.224668
0.137892,0.223185
0.138722,0.223969
0.148166,0.259835
0.138149,0.227573
0.138469,0.223686
0.147267,0.231729
0.138313,0.223337
0.138586,0.225837
0.138260,0.231109
0.138928,0.224998
0.162431,0.251058
0.167868,0.255866
0.167129,0.257734
0.137702,0.225396
0.138380,0.225526
0.137084,0.229079
0.138917,0.227026
0.138859,0.227446
0.164205,0.251001
0.138523,0.226570
0.141908,0.230894
0.139483,0.227594
0.143570,0.233041
0.137919,0.225668
0.137539,0.225070
0.138981,0.228514
0.162037,0.247536
0.137807,0.226294
0.138954,0.228077
0.138322,0.226731
0.138792,0.228097
0.139624,0.231456
0.138732,0.228538
0.138362,0.226860
0.169190,0.254638
0.151482,0.239115
0.150938,0.238644
0.139547,0.227677
0.140246,0.228524
0.152947,0.240752
0.138925,0.227439
0.143695,0.233554
0.160912,0.245812
0.138020,0.225175
0.138212,0.226641
0.138490,0.227685
0.144746,0.232971
0.140609,0.233791
0.191791,0.277977
0.138552,0.224446
0.161977,0.248133
0.138986,0.224412
0.138081,0.224453
0.147172,0.233431
0.139282,0.226721
0.140033,0.227146
0.137679,0.224873
0.138276,0.226535
0.172379,0.257790
0.153354,0.239603
0.139679,0.227540
0.137218,0.224191
0.136657,0.220841
0.137328,0.222225
0.139093,0.226589
0.139728,0.248308
0.141448,0.226278
0.137922,0.221486
0.139557,0.225980
0.137641,0.222663
0.147682,0.233623
0.139095,0.224716
0.139749,0.226733
0.140346,0.250261
0.137092,0.220799
0.140655,0.223659
0.139192,0.231354
0.137177,0.221486
0.137222,0.225015
0.139115,0.225833
0.138511,0.225661
0.140672,0.250877
0.139027,0.225158
0.157896,0.249523
0.141272,0.226978
0.137382,0.223319
0.137332,0.223349
0.137967,0.223932
0.137887,0.228477
0.147989,0.263892
0.167959,0.251056
0.138032,0.224429
0.138674,0.226205
0.139553,0.227338
0.139999,0.227965
0.138400,0.225544
0.138720,0.226402
0.139590,0.251942
0.138795,0.231536
0.138616,0.225394
0.139472,0.227087
0.138446,0.226874
0.139713,0.226980
0.137499,0.225705
0.137586,0.225585
