starttransfer,total
0.148505,0.228169
0.138580,0.217896
0.138321,0.220524
0.170891,0.247317
0.141838,0.225590
0.143611,0.225914
0.177451,0.255727
0.156211,0.236618
0.141974,0.224663
0.142473,0.226136
0.142017,0.227370
0.140453,0.225848
0.157780,0.241636
0.143387,0.226463
0.167105,0.248395
0.142925,0.226705
0.142163,0.226304
0.158039,0.241244
0.141862,0.225579
0.141864,0.227634
0.142547,0.226825
0.141723,0.227730
0.165029,0.246148
0.155350,0.238582
0.142719,0.226985
0.142810,0.227135
0.143816,0.231024
0.143856,0.227909
0.142826,0.227418
0.141322,0.226496
0.165497,0.246216
0.142122,0.225179
0.141533,0.224592
0.141058,0.226296
0.141991,0.226052
0.157223,0.240563
0.142911,0.227079
0.143326,0.227936
0.165804,0.247800
0.146853,0.230095
0.146912,0.230493
0.141660,0.224979
0.141721,0.225373
0.142212,0.227993
0.171429,0.252316
0.141570,0.225048
0.164484,0.247149
0.142022,0.225690
0.143093,0.225811
0.141805,0.224646
0.141377,0.225182
0.155957,0.238738
0.157175,0.242386
0.142500,0.225535
0.164868,0.246100
0.142451,0.228483
0.155413,0.239477
0.155921,0.239058
0.142219,0.226115
0.142010,0.226209
0.141830,0.227380
0.158086,0.243672
0.164042,0.244639
0.146688,0.230472
0.142867,0.228870
0.141189,0.226870
0.141526,0.225328
0.140671,0.223858
0.142209,0.225847
0.157585,0.241784
0.164905,0.245823
0.141636,0.225587
0.149196,0.232579
0.141708,0.225263
0.140837,0.223917
0.142463,0.226044
0.141177,0.225973
0.142024,0.229495
0.182704,0.262389
0.180506,0.264656
0.144136,0.228441
0.141224,0.224637
0.140812,0.224634
0.143237,0.227604
0.170708,0.252508
0.144398,0.229591
0.165219,0.246783
0.141842,0.226587
0.142429,0.225546
0.141566,0.224727
0.142736,0.226811
0.141798,0.225676
0.141578,0.224901
0.143074,0.226856
0.172405,0.253954
0.146122,0.234337
0.141697,0.225082
0.142267,0.226292
0.142056,0.227305
0.149245,0.235851
0.141948,0.225716
0.142598,0.226636
0.165345,0.245405
0.143142,0.228535
0.142263,0.226081
0.142086,0.225708
0.141409,0.225506
0.155927,0.241600
0.142451,0.225315
0.146529,0.230697
0.165972,0.246738
0.140999,0.224885
0.154949,0.237057
0.142037,0.225531
0.141525,0.226469
0.143087,0.227939
0.142084,0.227105
0.156777,0.240989
0.165288,0.245615
0.148261,0.230951
0.149374,0.233175
0.141439,0.225229
0.140994,0.224576
0.149291,0.233380
0.141776,0.228520
0.171332,0.251840
0.165614,0.246582
0.142121,0.226345
0.142225,0.225203
0.142240,0.225501
0.141918,0.225604
0.141405,0.225284
0.142120,0.228007
0.143174,0.226106
0.164305,0.245249
0.142447,0.226914
