starttransfer,total
0.143250,0.223483
0.136624,0.216609
0.136083,0.221056
0.155523,0.237138
0.141417,0.222662
0.139275,0.222861
0.147122,0.230016
0.140865,0.226436
0.138820,0.225030
0.139728,0.226323
0.140276,0.256780
0.140252,0.228356
0.139923,0.226450
0.139740,0.227161
0.138148,0.227127
0.152416,0.238779
0.168216,0.255837
0.139829,0.228256
0.139753,0.252067
0.145305,0.233359
0.140552,0.229239
0.139905,0.230107
0.139703,0.229878
0.142481,0.231826
0.152285,0.249048
0.140989,0.229370
0.140487,0.261460
0.140474,0.229452
0.140079,0.229812
0.141290,0.230047
0.139440,0.228028
0.140805,0.229487
0.139804,0.228534
0.140104,0.231544
0.140835,0.264287
0.139812,0.228076
0.143089,0.238150
0.140711,0.229704
0.142567,0.233232
0.140180,0.230098
0.153863,0.244093
0.145223,0.234051
0.140128,0.252296
0.140277,0.229197
0.140256,0.231220
0.141711,0.229628
0.139231,0.227359
0.138879,0.227528
0.138784,0.227787
0.155522,0.244404
0.162490,0.251978
0.140315,0.228942
0.139684,0.228310
0.148891,0.237810
0.154812,0.242660
0.139708,0.228316
0.173846,0.260053
0.140913,0.230107
0.164833,0.252150
0.141883,0.232031
0.141585,0.231489
0.141730,0.231560
0.139994,0.228980
0.138833,0.225083
0.140760,0.228285
0.140672,0.227155
0.180129,0.265093
0.139738,0.228836
0.140341,0.228047
0.140538,0.228627
0.138500,0.226589
0.140110,0.228652
0.139318,0.228592
0.139880,0.229420
0.163227,0.251245
0.141026,0.229629
0.154590,0.242671
0.151069,0.238992
0.139826,0.229087
0.154659,0.243558
0.140526,0.258587
0.140401,0.228813
0.161081,0.247862
0.139416,0.227571
0.140274,0.229275
0.138406,0.225098
0.139397,0.225438
0.139567,0.225583
0.140518,0.227106
0.152686,0.260501
0.139791,0.227035
0.148938,0.232237
0.142050,0.226291
0.134564,0.218464
0.136598,0.220433
0.137731,0.222204
0.167123,0.247775
0.138835,0.248330
0.138340,0.224389
0.140619,0.226556
0.141811,0.228479
0.139168,0.226408
0.139311,0.226550
0.139706,0.227599
0.152398,0.240288
0.140247,0.260576
0.153332,0.241011
0.150813,0.238809
0.140044,0.234300
0.139289,0.227679
0.139380,0.227810
0.141675,0.231227
0.140688,0.230331
0.139444,0.254463
0.138698,0.226752
0.141007,0.229778
0.140944,0.229485
0.138230,0.227093
0.138598,0.227558
0.139321,0.227844
0.160326,0.248476
0.141181,0.254188
0.138347,0.226598
0.138920,0.228265
0.139728,0.228943
0.154650,0.242189
0.140319,0.232491
0.138453,0.226518
0.139734,0.228731
0.140497,0.253523
0.141561,0.230389
0.140304,0.230530
0.139737,0.228324
0.138143,0.226658
0.139152,0.227877
0.140908,0.229933
0.169023,0.254907
0.139826,0.251669
0.138773,0.229577
0.139350,0.227987
0.140670,0.229031
0.152535,0.240622
0.139418,0.228853
0.140130,0.230180
0.140269,0.229430
0.173473,0.260282
0.139831,0.229842
0.139527,0.226012
0.139759,0.226731
0.140030,0.226661
0.140547,0.229008
0.140874,0.230498
0.140438,0.228753
0.163361,0.249169
0.139851,0.227632
0.141163,0.229942
0.141040,0.229553
0.138880,0.226873
0.139314,0.228693
0.139690,0.228483
0.145292,0.236018
0.182585,0.269131
0.139498,0.227950
0.140381,0.227432
0.140969,0.229169
0.140036,0.226360
0.140405,0.227547
0.139185,0.226642
0.140239,0.228061
0.165332,0.251156
0.141048,0.229814
0.140919,0.229835
0.140284,0.228504
0.139687,0.228045
0.139199,0.227710
0.140453,0.228691
0.170876,0.277085
0.138829,0.227291
0.139617,0.228124
0.139963,0.229205
0.141351,0.232080
0.141110,0.230634
0.139403,0.227770
0.140144,0.229408
0.140794,0.251832
0.139664,0.227957
0.140743,0.229906
0.139640,0.227994
0.149445,0.238056
0.139780,0.229237
0.140121,0.228976
0.140400,0.230670
0.140675,0.252682
0.140333,0.229691
0.140819,0.229806
0.140375,0.229247
0.149684,0.241565
0.139617,0.228144
0.139823,0.229067
0.140060,0.229218
0.156232,0.269178
0.142033,0.230854
0.139344,0.227767
0.140445,0.236715
0.148207,0.239996
0.167621,0.256977
0.140146,0.229106
0.139627,0.228498
0.140170,0.254827
0.139670,0.228577
0.139680,0.229794
0.140683,0.230987
0.139231,0.228976
0.139884,0.228843
0.140089,0.231296
0.140589,0.229759
0.169383,0.282239
0.139018,0.228252
0.139944,0.228894
0.141178,0.229614
0.139978,0.227177
0.141337,0.228990
0.140004,0.227020
0.140598,0.228594
0.161855,0.252995
0.141916,0.230547
0.141279,0.230221
0.140913,0.230425
0.142741,0.231583
0.138288,0.224031
0.140741,0.228982
0.140713,0.227483
0.164944,0.251075
0.143502,0.231781
0.152849,0.239158
0.141842,0.237966
0.141402,0.230046
