starttransfer,total
0.149734,0.235510
0.135799,0.218288
0.160424,0.243929
0.134254,0.218551
0.132060,0.218659
0.137647,0.221831
0.136635,0.221370
0.152725,0.238392
0.136578,0.224778
0.138511,0.225708
0.205571,0.288895
0.138541,0.226120
0.138245,0.227464
0.139428,0.228679
0.138843,0.229141
0.139228,0.228287
0.140497,0.229625
0.147714,0.236689
0.161695,0.248023
0.139485,0.229977
0.138343,0.227742
0.137749,0.230992
0.138283,0.227588
0.138900,0.228349
0.140469,0.230392
0.139100,0.254539
0.139289,0.229592
0.139975,0.230708
0.138701,0.228454
0.137845,0.227455
0.139347,0.228722
0.145771,0.237241
0.139274,0.228621
0.139739,0.254095
0.139077,0.228580
0.138496,0.227693
0.138663,0.228112
0.139672,0.228995
0.150432,0.240348
0.138309,0.228123
0.138779,0.229252
0.146113,0.263263
0.138065,0.228174
0.140100,0.230115
0.139024,0.229980
0.137553,0.228275
0.138164,0.228281
0.139420,0.231062
0.139552,0.229183
0.140881,0.254055
0.170985,0.268497
0.139253,0.229859
0.138630,0.228160
0.139442,0.228204
0.138439,0.227161
0.138567,0.228218
0.140046,0.230970
0.179093,0.267513
0.138405,0.226247
0.149353,0.234751
0.138119,0.226645
0.138829,0.227899
0.137839,0.225388
0.138684,0.226980
0.151917,0.241077
0.162305,0.246105
0.138962,0.226729
0.140360,0.226684
0.136549,0.222699
0.136003,0.222584
0.139265,0.227605
0.140129,0.228643
0.140409,0.228380
0.160670,0.246087
0.139193,0.228966
0.139431,0.229059
0.137986,0.226380
0.139091,0.227338
0.139295,0.228405
0.138061,0.226495
0.138508,0.248195
0.137652,0.226297
0.138904,0.225087
0.136662,0.223291
0.135726,0.221820
0.136095,0.221778
0.139549,0.227032
0.143317,0.230424
0.139292,0.250724
0.138135,0.225871
0.137922,0.226867
0.167375,0.264053
0.137930,0.228321
0.137417,0.228071
0.137880,0.226286
0.139264,0.228418
0.139089,0.251539
0.138307,0.228094
0.138059,0.229077
0.138421,0.227296
0.136886,0.225710
0.137741,0.227400
0.138781,0.227021
0.138210,0.227888
0.137974,0.247762
0.137441,0.222986
0.148799,0.235144
0.139060,0.225490
0.137272,0.224570
0.137697,0.224562
0.138481,0.226939
0.138367,0.227093
0.171683,0.257528
0.139007,0.227744
0.151838,0.240265
0.142200,0.231568
0.139628,0.230600
0.138177,0.226659
0.139423,0.227987
0.138535,0.227635
0.162049,0.248491
0.138733,0.227602
0.139640,0.228079
0.140109,0.229315
0.138479,0.228484
0.138392,0.227163
0.139096,0.228206
0.140478,0.229805
0.168968,0.255070
0.139250,0.228451
0.137996,0.226655
0.139891,0.228720
0.138495,0.228315
0.177093,0.263849
0.138670,0.227522
0.154742,0.264799
0.138287,0.224920
0.138258,0.224984
0.139073,0.226113
0.138985,0.226292
0.139480,0.228100
0.138123,0.226191
0.139488,0.228492
0.138992,0.261308
0.137625,0.228009
0.141077,0.230073
0.139587,0.229466
0.139836,0.229298
0.138581,0.228193
0.138287,0.228370
0.138680,0.227889
0.148474,0.261242
0.138366,0.227235
0.138467,0.228043
0.138748,0.229308
0.139160,0.234565
0.138133,0.226922
0.138302,0.227100
0.138765,0.228697
0.140137,0.251886
0.138789,0.231387
0.136579,0.225758
0.137399,0.226138
0.137786,0.227312
0.137664,0.224620
0.138338,0.225074
0.138173,0.225335
0.158123,0.255771
0.130473,0.214082
0.140011,0.223444
0.129407,0.212828
0.141547,0.228813
0.143767,0.225107
0.141851,0.223863
0.161916,0.241519
0.160851,0.245706
0.132735,0.214309
0.141752,0.222535
0.140303,0.223980
0.134778,0.219455
0.138083,0.224403
0.137463,0.222096
0.138837,0.226919
0.161981,0.245196
0.143428,0.229656
0.136705,0.223270
0.137472,0.225384
0.137946,0.225132
0.139466,0.229412
0.137620,0.225893
0.137578,0.225729
0.160273,0.246355
0.140336,0.229385
0.138411,0.226109
0.150913,0.239183
0.138130,0.227484
0.137709,0.227081
0.138673,0.227900
0.138618,0.249337
0.137476,0.226608
0.138514,0.226459
0.137077,0.223955
0.137474,0.223461
0.137401,0.224817
0.137812,0.224549
0.137630,0.226119
0.138775,0.249473
0.139841,0.228510
0.136970,0.225012
0.137491,0.226936
0.138006,0.226848
0.137456,0.226045
0.137112,0.227279
0.139508,0.228017
0.138576,0.250625
0.135203,0.220736
0.165921,0.247367
0.136951,0.222962
0.136639,0.225170
0.137192,0.224156
0.138218,0.226973
0.138280,0.226876
0.137786,0.247781
0.137895,0.226903
0.138833,0.227486
0.150772,0.238550
0.137648,0.227712
0.138293,0.227204
0.151840,0.238579
0.138663,0.227875
0.168664,0.256066
0.138668,0.229847
0.139292,0.228221
0.137064,0.227094
0.137459,0.226692
0.138448,0.226904
0.139667,0.228456
0.138192,0.227353
0.162401,0.248758
0.139159,0.228901
0.139356,0.228026
0.138068,0.226644
0.138615,0.228088
0.147494,0.237185
0.152550,0.241660
0.152297,0.241220
0.168258,0.254203
0.140031,0.224877
0.138084,0.223525
0.137376,0.224189
0.137438,0.225122
0.138125,0.226833
0.138431,0.227111
0.138377,0.228386
0.170180,0.259263
0.137774,0.226308
0.139387,0.230271
0.165032,0.249893
0.137380,0.226259
0.147940,0.232755
0.138416,0.226691
0.151485,0.259755
0.139955,0.227317
0.137299,0.225105
0.139383,0.226443
0.146857,0.234058
0.137204,0.226606
0.137623,0.226567
0.138588,0.228410
0.138704,0.250986
0.137928,0.226545
0.138448,0.227577
0.140076,0.228565
0.137641,0.229383
0.138181,0.227478
0.137848,0.228637
0.138010,0.227319
0.139076,0.252022
0.138211,0.228052
0.137886,0.227167
0.152654,0.241484
0.139078,0.228853
0.137446,0.227083
0.138665,0.228085
0.152840,0.241871
0.150260,0.269761
0.149290,0.234898
0.146389,0.234271
0.137858,0.224673
0.137233,0.221775
0.137027,0.224499
0.138384,0.224258
0.137550,0.225589
0.162336,0.248649
0.137917,0.224721
0.136053,0.220365
0.140809,0.226990
0.137680,0.224455
0.138424,0.225029
0.167972,0.253961
0.137733,0.225293
0.175864,0.259450
0.137894,0.225550
0.138730,0.223754
0.136053,0.220741
0.137054,0.224368
0.137197,0.222496
0.137202,0.226035
0.138238,0.227407
0.160899,0.246484
0.137700,0.226009
0.138921,0.227394
0.139699,0.227271
0.138111,0.227299
0.137953,0.227000
0.138159,0.227567
0.138818,0.228824
0.158100,0.248089
0.138294,0.227938
0.138803,0.227539
0.146842,0.235958
0.142706,0.231396
0.137990,0.227451
0.138335,0.227863
0.138577,0.249725
0.150876,0.239369
0.138255,0.229319
0.138834,0.229006
0.142294,0.231936
0.138183,0.226719
0.140135,0.229850
0.138264,0.226909
0.137688,0.259125
0.137439,0.226972
0.138148,0.227901
0.138046,0.227401
0.151607,0.239794
0.136656,0.226147
0.138926,0.228826
0.138351,0.227108
0.168648,0.288778
0.138685,0.226066
0.136311,0.224524
0.138444,0.226230
0.138224,0.226994
0.137606,0.227157
0.137037,0.224389
0.138141,0.227021
0.138093,0.248877
0.145148,0.233619
0.137556,0.227773
0.138083,0.227854
0.138835,0.227481
0.137666,0.226755
0.137769,0.226530
0.137498,0.226828
0.162314,0.248680
0.137116,0.226241
0.138761,0.228285
0.137395,0.226907
0.139150,0.228718
0.137622,0.226145
0.137124,0.226624
0.137615,0.227527
0.160436,0.245532
0.136230,0.225702
0.136873,0.226296
0.137305,0.228919
0.163529,0.252531
0.137633,0.226967
0.139247,0.229494
0.139977,0.228981
0.161622,0.250625
0.149175,0.253139
0.148382,0.251783
0.150362,0.253160
0.148407,0.249438
0.150499,0.253840
0.152986,0.262164
0.136070,0.222472
0.163672,0.249805
0.136588,0.223166
0.137004,0.226479
0.136864,0.225183
0.136466,0.225278
0.138108,0.227876
0.161017,0.247848
0.138040,0.235770
0.135939,0.224974
0.136470,0.225604
0.136976,0.226234
0.137299,0.226105
0.138782,0.227285
0.137808,0.226432
0.160985,0.247115
0.137699,0.228183
0.136290,0.225180
0.137373,0.226677
0.138502,0.227518
0.151174,0.238766
0.138715,0.227723
0.152876,0.240837
0.160069,0.246351
0.137345,0.226535
0.146323,0.234060
0.150937,0.238831
0.137853,0.227007
0.139483,0.228011
0.137972,0.227911
0.137633,0.250305
0.137702,0.226969
0.146202,0.235914
0.137093,0.227310
0.137606,0.226920
0.138127,0.227371
0.137388,0.226863
0.153500,0.241611
0.138300,0.250713
0.138429,0.227642
0.140047,0.229509
0.136722,0.227703
0.179021,0.263436
0.138256,0.227417
0.137606,0.228348
0.138658,0.227469
0.138103,0.262326
0.150988,0.239298
0.138192,0.227451
0.136905,0.228680
0.137338,0.227104
0.137048,0.228292
0.137800,0.227017
0.138156,0.227309
0.138174,0.257805
0.137649,0.227125
0.137821,0.226915
0.138701,0.226945
0.138018,0.227491
0.137421,0.226131
0.137532,0.226628
0.137784,0.226615
0.163678,0.249991
0.138927,0.227902
0.137728,0.226889
0.137813,0.223259
0.137965,0.224110
0.138580,0.224799
0.136706,0.223407
0.139147,0.226388
0.161724,0.246060
0.137604,0.226874
0.139721,0.228844
0.137087,0.225858
0.137758,0.226395
0.138200,0.227545
0.138063,0.227236
0.138840,0.227780
0.160161,0.246471
0.138380,0.227569
0.138514,0.227675
0.136871,0.223819
0.138886,0.224418
0.166409,0.249639
0.138382,0.224645
0.138567,0.246196
0.149715,0.236293
0.143596,0.228942
0.138073,0.223652
0.143562,0.226616
0.135433,0.217758
0.137081,0.221511
0.138707,0.225516
0.138756,0.247893
0.137175,0.222971
0.137858,0.223669
0.139781,0.233534
0.137074,0.223228
0.137602,0.226465
0.137672,0.224863
0.138288,0.227052
0.139070,0.251262
0.137552,0.222660
0.137697,0.222928
0.150571,0.235755
0.138477,0.225271
0.138615,0.226704
0.136849,0.223449
0.140927,0.228249
0.137671,0.249659
0.150296,0.235847
0.138770,0.227293
0.138514,0.227842
0.152028,0.239096
0.137410,0.233756
0.137138,0.225638
0.137504,0.226913
0.137799,0.247582
0.137169,0.226189
0.137920,0.227186
0.139646,0.228295
0.140231,0.230020
0.137262,0.225973
0.137677,0.226934
0.138329,0.227598
0.198902,0.282291
0.149921,0.237670
0.143328,0.232044
0.138342,0.227520
0.136769,0.225770
0.137083,0.226134
0.137200,0.227304
0.138109,0.226965
0.160215,0.245948
0.138632,0.227315
0.152715,0.241528
0.138050,0.227046
0.138179,0.226775
0.137377,0.227029
0.137150,0.226437
0.138441,0.225628
0.160102,0.245775
0.137804,0.224691
0.137909,0.225610
0.138474,0.227064
0.139644,0.227814
0.137686,0.226534
0.138531,0.226873
0.139907,0.249723
0.137211,0.226165
0.135578,0.219889
0.137982,0.224097
0.136533,0.223574
0.137816,0.224092
0.137649,0.224896
0.137779,0.224748
0.138498,0.250496
0.137886,0.226635
0.136834,0.225908
0.137075,0.226263
0.137071,0.226199
0.137837,0.226906
0.138036,0.227277
0.145480,0.235127
0.150258,0.262730
0.137956,0.226519
0.150444,0.238605
0.165010,0.249745
0.136368,0.224968
0.137191,0.226289
0.138006,0.227499
0.152435,0.240975
0.138554,0.259378
0.137086,0.226593
0.136565,0.225246
0.138148,0.227628
0.150190,0.238973
0.147644,0.236675
0.137150,0.225797
0.138174,0.226830
0.160243,0.249360
0.145056,0.236042
0.136546,0.225941
0.136562,0.226153
0.136933,0.225975
0.137180,0.226108
0.137424,0.227225
0.137907,0.226771
0.201270,0.285462
0.137060,0.226068
0.136491,0.224871
0.136887,0.228379
0.137142,0.226614
0.137872,0.228283
0.138124,0.228156
0.138554,0.228781
0.170506,0.256120
0.138013,0.230108
0.138239,0.227443
0.139010,0.228033
0.137569,0.228006
0.137266,0.227708
0.137143,0.225279
0.138237,0.227343
0.168691,0.255501
0.137406,0.226549
0.137198,0.227732
0.136354,0.225850
0.137301,0.229203
0.138398,0.228069
0.138427,0.228060
