starttransfer,total
0.000000,0.004229
0.000000,0.004234
0.000000,0.004237
0.000000,0.004238
0.000000,0.004283
0.000000,0.004239
0.000000,0.004263
0.000000,0.004251
0.000000,0.004321
0.000000,0.004317
0.000000,0.004306
0.000000,0.004265
0.000000,0.004331
0.000000,0.004246
0.000000,0.004280
0.000000,0.004306
0.000000,0.004307
0.000000,0.004271
0.000000,0.004398
0.000000,0.004329
0.000000,0.004293
0.000000,0.004321
0.000000,0.004279
0.000000,0.004357
0.000000,0.004348
0.000000,0.004370
0.000000,0.004302
0.000000,0.004314
0.000000,0.004282
0.000000,0.004294
0.000000,0.004310
0.000000,0.004305
0.000000,0.004338
0.000000,0.004339
0.000000,0.004297
0.000000,0.004271
0.000000,0.004272
0.000000,0.004279
0.000000,0.004379
0.000000,0.004364
0.000000,0.004300
0.000000,0.004309
0.000000,0.004315
0.000000,0.004501
0.000000,0.004246
0.000000,0.004317
0.000000,0.004265
0.000000,0.004280
0.000000,0.004229
0.000000,0.004260
0.000000,0.004262
0.000000,0.004225
0.000000,0.004249
0.000000,0.004351
0.000000,0.004274
0.000000,0.004270
0.000000,0.004258
0.000000,0.004318
0.000000,0.004276
0.000000,0.004341
0.000000,0.004252
0.000000,0.004238
0.000000,0.004248
0.000000,0.004266
0.000000,0.004233
0.000000,0.004405
0.000000,0.004298
0.000000,0.004256
0.000000,0.004287
0.000000,0.004296
0.000000,0.004386
0.000000,0.004328
0.000000,0.004312
0.000000,0.004291
0.000000,0.004315
0.000000,0.004279
0.000000,0.004285
0.000000,0.004279
0.000000,0.004309
0.000000,0.004299
0.000000,0.004291
0.000000,0.004248
0.000000,0.004277
0.000000,0.004296
0.000000,0.004312
0.000000,0.004245
0.000000,0.004259
0.000000,0.004242
0.000000,0.004311
0.000000,0.004244
0.000000,0.004245
0.000000,0.004284
0.000000,0.004275
0.000000,0.004385
0.000000,0.004205
0.000000,0.004234
0.000000,0.004239
0.000000,0.007859
0.000000,0.004329
0.000000,0.004274
0.000000,0.004248
0.000000,0.004242
0.000000,0.004260
0.000000,0.004255
0.000000,0.004231
0.000000,0.004245
0.000000,0.004253
0.000000,0.004269
0.000000,0.004260
0.000000,0.004304
0.000000,0.004290
0.000000,0.004245
0.000000,0.004210
0.000000,0.004320
0.000000,0.004257
0.000000,0.004259
0.000000,0.004230
0.000000,0.004223
0.000000,0.004214
0.000000,0.004246
0.000000,0.004287
0.000000,0.004202
0.000000,0.004259
0.000000,0.004265
0.000000,0.004255
0.000000,0.004271
0.000000,0.004249
0.000000,0.004247
0.000000,0.004236
0.000000,0.004246
0.000000,0.004224
0.000000,0.004272
0.000000,0.004288
0.000000,0.004236
0.000000,0.004256
0.000000,0.004320
0.000000,0.004277
0.000000,0.004276
0.000000,0.004245
0.000000,0.004309
0.000000,0.004257
0.000000,0.004240
2.196095,2.702973
0.390858,0.717101
0.358949,0.511427
0.454448,0.568711
0.378702,0.484814
0.222034,0.362330
0.168641,0.252671
0.141662,0.227299
0.143704,0.227987
0.148485,0.234606
0.146420,0.235885
0.142713,0.228164
0.175195,0.256430
0.183908,0.266167
0.137773,0.224396
0.139274,0.224758
0.142442,0.227850
0.141021,0.225128
0.142069,0.227711
0.140133,0.226034
0.152626,0.238449
0.197116,0.280852
0.138926,0.221289
0.140145,0.223106
0.139119,0.223221
0.138989,0.221527
0.138589,0.230575
0.141081,0.225443
0.139412,0.269299
0.141306,0.226254
0.144021,0.229090
0.139802,0.224101
0.139437,0.224066
0.149833,0.234736
0.165239,0.248329
0.146558,0.232996
0.141101,0.273152
0.138470,0.222552
0.136928,0.221154
0.148090,0.231618
0.147496,0.231152
0.138070,0.222654
0.138219,0.223478
0.137691,0.222551
0.137727,0.275055
0.147666,0.231039
0.136892,0.221086
0.138296,0.225239
0.137460,0.220907
0.140999,0.225330
0.139006,0.219886
0.148202,0.229491
0.214616,0.289545
0.135324,0.214699
0.139400,0.218692
0.135055,0.217785
0.139237,0.225149
0.135686,0.213382
0.138898,0.220901
0.137269,0.217778
0.178174,0.253841
0.134054,0.212786
0.133786,0.213850
0.138157,0.218937
0.139022,0.221364
0.137043,0.217681
0.150318,0.230684
0.138348,0.219313
0.177291,0.256810
0.135576,0.215563
0.137085,0.217556
0.136789,0.217291
0.136161,0.216848
0.136496,0.220989
0.136095,0.221669
0.136382,0.255896
0.139761,0.223977
0.137602,0.217708
0.138737,0.224914
0.143723,0.223842
0.136487,0.217030
0.138677,0.220746
0.139486,0.220277
0.148212,0.270938
0.136702,0.219710
0.138185,0.221335
0.145439,0.228247
0.137479,0.221246
0.137596,0.221235
0.136623,0.220002
0.137771,0.220740
0.137183,0.260101
0.139164,0.221370
0.137558,0.219390
0.167742,0.245946
0.140075,0.220437
0.139048,0.219471
0.136468,0.216593
0.138353,0.220952
0.137361,0.254952
0.137624,0.219647
0.136436,0.218489
0.139038,0.221577
0.146742,0.229741
0.134679,0.217104
0.135355,0.217941
0.153752,0.236756
0.137556,0.253274
0.136811,0.218285
0.137460,0.219258
0.137144,0.219363
0.137726,0.219109
0.137134,0.219429
0.136441,0.218645
0.136818,0.219111
0.169094,0.280284
0.136513,0.215448
0.135927,0.216020
0.137092,0.217764
0.138595,0.219580
0.137429,0.218618
0.137185,0.217875
0.139557,0.220503
0.139014,0.257937
0.134045,0.213805
0.134540,0.215267
0.134985,0.215082
0.138473,0.219201
0.135547,0.214248
0.135485,0.215515
0.134399,0.213867
0.136163,0.251283
0.133925,0.213906
0.136976,0.218243
0.135774,0.216020
0.136331,0.217884
0.136569,0.218177
0.137776,0.221968
0.137873,0.219179
0.138770,0.246847
0.138287,0.220288
0.144926,0.226038
0.147004,0.227872
0.141793,0.223688
0.137829,0.221195
0.137003,0.218841
0.136912,0.218223
0.137852,0.241902
0.137888,0.226970
0.140559,0.220529
0.134171,0.213531
0.135432,0.215220
0.137378,0.218079
0.137494,0.220040
0.138001,0.220143
0.137548,0.221375
0.167560,0.251443
0.162069,0.238485
0.132564,0.211746
0.133875,0.213670
0.136070,0.216237
0.137954,0.219310
0.137339,0.218867
0.140260,0.223198
0.160935,0.240077
0.143268,0.225348
0.137367,0.219229
0.137141,0.219614
0.138304,0.221116
0.138101,0.220581
0.138013,0.220130
0.139483,0.222628
0.161936,0.241950
0.142644,0.225168
0.136805,0.218731
0.136702,0.218914
0.138218,0.220462
0.139983,0.230948
0.137183,0.220006
0.139317,0.223604
0.169711,0.250956
0.136749,0.218969
0.137617,0.220799
0.147201,0.228316
0.136671,0.222462
0.137313,0.219843
0.136650,0.218946
0.141219,0.223552
0.162775,0.243096
0.137534,0.220453
0.140120,0.222486
0.137250,0.219620
0.138594,0.219140
0.136499,0.215948
0.146779,0.229371
0.137795,0.219660
0.163037,0.242790
0.135097,0.216561
0.148042,0.229913
0.165423,0.242731
0.136958,0.218638
0.136754,0.218806
0.138213,0.220373
0.144165,0.226385
0.163953,0.243764
0.138627,0.221395
0.138455,0.220376
0.138030,0.221067
0.138605,0.221553
0.136477,0.218573
0.137448,0.219472
0.137084,0.220220
0.162520,0.242695
0.143242,0.225572
0.137448,0.219876
0.136060,0.217998
0.137224,0.219592
0.137093,0.219605
0.137013,0.219396
0.137394,0.220753
0.162235,0.243148
