starttransfer,total
0.146645,0.228983
0.132374,0.210092
0.129675,0.211034
0.161488,0.236551
0.133404,0.215597
0.155308,0.235465
0.133863,0.214809
0.131858,0.215355
0.133098,0.215486
0.133040,0.215641
0.135250,0.219099
0.133454,0.216339
0.134734,0.218971
0.152567,0.234572
0.134621,0.218012
0.136515,0.219701
0.133779,0.216740
0.132891,0.218492
0.134609,0.219571
0.134212,0.219384
0.136393,0.221922
0.155194,0.238870
0.133843,0.220848
0.143384,0.227752
0.135787,0.221443
0.135147,0.220441
0.138562,0.226045
0.134095,0.220731
0.134887,0.219421
0.153588,0.237628
0.134829,0.220449
0.136163,0.222628
0.132289,0.218100
0.133549,0.218510
0.133840,0.219035
0.135310,0.221040
0.135067,0.220885
0.153074,0.238145
0.136408,0.222550
0.134010,0.219499
0.134364,0.219067
0.134579,0.219640
0.135008,0.221611
0.135977,0.221981
0.134857,0.220329
0.193046,0.272799
0.134953,0.221816
0.133725,0.218492
0.135226,0.220457
0.135227,0.220796
0.135409,0.221095
0.135705,0.220275
0.133797,0.218908
0.163574,0.249322
0.134295,0.218790
0.135636,0.220017
0.135254,0.221437
0.133159,0.217310
0.134011,0.218474
0.135005,0.220441
0.136360,0.222834
0.155276,0.238642
0.133736,0.218539
0.134578,0.218678
0.135680,0.219931
0.134691,0.219335
0.136053,0.222209
0.134946,0.223600
0.160404,0.247179
0.168623,0.252179
0.134974,0.219189
0.134765,0.217471
0.135081,0.217357
0.134800,0.220442
0.134306,0.217428
0.135341,0.218932
0.135307,0.219050
0.155692,0.237217
0.134125,0.216644
0.134144,0.218827
0.135024,0.219020
0.134995,0.219480
0.134374,0.228697
0.134701,0.219201
0.135003,0.219472
0.154046,0.237777
0.133131,0.218231
0.161339,0.245011
0.134205,0.218089
0.133949,0.218855
0.134854,0.219150
0.134305,0.219432
0.134659,0.221673
0.154119,0.237284
0.132822,0.217926
0.134187,0.219621
0.133213,0.218332
0.134085,0.219194
0.134167,0.218482
0.134281,0.220310
0.136183,0.220656
0.154203,0.238444
0.132125,0.215975
0.132318,0.215951
0.134043,0.219220
0.134306,0.218159
0.134737,0.221121
0.133589,0.219209
0.148454,0.233155
0.192680,0.283747
0.132565,0.216250
0.132797,0.219335
0.133099,0.218137
0.134390,0.219710
0.147827,0.232038
0.134314,0.220685
0.134898,0.219601
0.154071,0.238479
0.134912,0.220023
0.132504,0.217350
0.133113,0.217128
0.148173,0.234142
0.133522,0.218761
0.135096,0.220139
0.134539,0.219598
0.154592,0.240258
0.135195,0.220113
0.132975,0.216995
0.133404,0.217838
0.161894,0.245779
0.148231,0.231225
0.134245,0.219379
0.134640,0.221113
0.154161,0.238699
0.134220,0.220759
0.146638,0.230071
0.133488,0.218910
0.133104,0.217762
0.134904,0.219904
0.133788,0.219150
0.139271,0.223521
0.162560,0.245997
0.146138,0.229904
0.134582,0.219945
0.133128,0.220154
0.133434,0.218296
0.133532,0.218312
0.134311,0.219310
0.134375,0.219584
0.153342,0.237358
0.167411,0.247807
0.135777,0.220139
0.133582,0.217489
0.133086,0.217371
0.133652,0.220452
0.133608,0.218079
0.135670,0.220483
0.161679,0.245835
0.133511,0.218132
0.149447,0.234043
0.152007,0.235223
0.133485,0.217942
0.133946,0.218986
0.134044,0.220278
0.133955,0.220868
0.153156,0.236946
0.134003,0.218358
0.133977,0.220289
0.132854,0.219110
0.133321,0.219366
0.133580,0.217995
0.134444,0.219395
0.134121,0.218632
0.156532,0.240649
0.134272,0.219759
0.135459,0.220221
0.132985,0.217818
0.147463,0.230786
0.133344,0.217298
0.134593,0.221272
0.135314,0.220696
0.154527,0.238322
0.148197,0.233085
0.142743,0.229324
0.134995,0.217687
0.134296,0.216649
0.136078,0.219720
0.133748,0.216551
0.135641,0.219537
0.154080,0.236459
0.134381,0.217751
0.134367,0.222805
0.166402,0.247953
0.133386,0.217140
0.147750,0.231777
0.135360,0.222426
0.135946,0.221409
0.154011,0.238210
0.133791,0.218415
0.133966,0.218573
0.135406,0.220828
0.133832,0.218275
0.133852,0.218350
0.134248,0.218472
0.134704,0.221664
0.153937,0.237639
0.134411,0.218306
0.133349,0.217840
0.134862,0.219469
0.134166,0.218602
0.133954,0.218422
0.135123,0.219528
0.133800,0.217667
0.154538,0.237671
0.132489,0.216840
0.133154,0.218458
0.133603,0.219709
0.133722,0.220306
0.133877,0.218336
0.133956,0.219745
0.133964,0.218573
0.154166,0.237955
0.132005,0.216331
0.133374,0.217816
0.132939,0.218096
0.132861,0.217387
0.134700,0.221037
0.132877,0.217190
0.133924,0.218610
0.169470,0.253337
0.144566,0.225039
0.132547,0.214065
0.132668,0.214555
0.137504,0.219217
0.190128,0.272667
0.134120,0.217417
0.136117,0.220719
0.165104,0.250619
0.131446,0.216829
0.132108,0.217371
0.133256,0.218001
0.135007,0.219902
0.133005,0.218408
0.133794,0.217988
0.134304,0.219550
0.168309,0.250890
0.147796,0.231447
0.131469,0.215687
0.132910,0.216975
0.145675,0.230952
0.134221,0.218941
0.134178,0.218124
0.133144,0.217337
0.153401,0.237533
0.134010,0.219698
0.133233,0.218729
0.133284,0.217990
0.132193,0.218713
0.133179,0.216937
0.134360,0.218860
0.135176,0.219421
0.154326,0.237525
0.132616,0.217253
0.133043,0.218425
0.148394,0.233221
0.141683,0.225975
0.134267,0.218328
0.133272,0.217994
0.134795,0.219244
0.154705,0.239337
0.134831,0.219210
0.137069,0.222223
0.132109,0.216134
0.133373,0.217681
0.134480,0.247900
0.137228,0.221492
0.172644,0.253130
0.154340,0.238657
0.135736,0.228310
0.142787,0.226228
0.132917,0.214889
0.133725,0.216050
0.133421,0.218299
0.134109,0.217369
0.134794,0.217487
0.154919,0.237349
0.133979,0.218532
0.134341,0.224629
0.133954,0.217918
0.135584,0.220140
0.133123,0.217223
0.133645,0.217914
0.134489,0.219084
0.154165,0.238022
0.134731,0.219278
0.133895,0.217828
0.133936,0.218827
0.133323,0.218033
0.134019,0.218451
0.134865,0.220265
0.134135,0.220565
0.154199,0.237388
0.145175,0.230063
0.134047,0.218737
0.142847,0.228127
0.132939,0.219199
0.132915,0.217909
0.133350,0.220391
0.134304,0.218979
0.153673,0.237130
0.133758,0.217890
0.134437,0.218766
0.133196,0.217908
0.134087,0.218935
0.134747,0.219414
0.133538,0.217718
0.140544,0.224800
0.153038,0.236827
0.162285,0.244139
0.141388,0.226427
0.134900,0.227299
0.133190,0.217110
0.134023,0.221068
0.142403,0.234532
0.143895,0.236611
0.166582,0.258639
0.140312,0.231552
0.141044,0.233920
0.142896,0.234277
0.140978,0.234286
0.145700,0.236995
0.157039,0.250342
0.143509,0.234725
0.165382,0.256374
0.142258,0.234857
0.141321,0.232374
0.140499,0.231489
0.154942,0.245165
0.143383,0.234006
0.152828,0.243874
0.140897,0.231788
0.167137,0.256288
0.138873,0.229383
0.155396,0.246976
0.149122,0.239544
0.137951,0.227357
0.138618,0.228310
0.138145,0.227237
0.148056,0.236835
0.160560,0.248882
0.137588,0.226553
0.137499,0.224993
0.144497,0.232526
0.138885,0.227255
0.138483,0.227505
0.136026,0.228664
0.137135,0.225330
0.155553,0.243993
0.163357,0.247119
0.135510,0.220663
0.136720,0.221679
0.134321,0.219750
0.133617,0.221923
0.158178,0.242336
0.150744,0.238193
0.153216,0.237988
0.147316,0.231423
0.133684,0.218931
0.135548,0.220347
0.135426,0.220424
0.133731,0.218363
0.135477,0.222995
0.134011,0.219353
0.154035,0.238068
0.133824,0.218378
0.146035,0.246214
0.135301,0.220957
0.133740,0.219256
0.134121,0.219542
0.134047,0.219153
0.134175,0.218873
0.155136,0.238751
0.133583,0.218130
0.133984,0.218779
0.135202,0.219942
0.148134,0.231978
0.134395,0.218432
0.133746,0.218351
0.134397,0.219335
0.154047,0.239286
0.148230,0.231747
0.134210,0.216765
0.134174,0.216592
0.141693,0.227017
0.135004,0.218059
0.143082,0.225254
0.134805,0.245207
0.161898,0.244847
0.131781,0.215489
0.133157,0.215974
0.166377,0.246203
0.134893,0.219096
0.134329,0.218425
0.133822,0.218429
0.135112,0.220220
0.154324,0.237967
0.134161,0.218890
0.132498,0.217157
0.133883,0.221361
0.135264,0.221513
0.133661,0.218153
0.137727,0.221408
0.134127,0.218139
0.153745,0.238003
0.132533,0.217703
0.132324,0.218029
0.133592,0.217523
0.132298,0.216565
0.135555,0.220626
0.134838,0.219964
0.142786,0.227272
0.154306,0.237948
0.132408,0.216371
0.133574,0.219187
0.133548,0.218928
0.133171,0.217184
0.133228,0.217116
0.132167,0.213257
0.134003,0.216877
0.154410,0.236038
0.146156,0.226860
0.132936,0.215047
0.132191,0.215183
0.133238,0.216699
0.133942,0.216497
0.144411,0.228360
0.135156,0.220490
0.162295,0.245534
0.146091,0.230758
0.141783,0.226021
0.132157,0.216333
0.133244,0.217236
0.163051,0.245475
0.135150,0.220483
0.135727,0.222345
0.153459,0.237639
0.135095,0.218785
0.131667,0.215323
0.133034,0.219849
0.133158,0.218178
0.134216,0.219000
0.135082,0.220703
0.133203,0.217226
0.161578,0.245397
0.133650,0.218905
0.134741,0.218578
0.133480,0.219094
0.133007,0.217059
0.133353,0.218252
0.134027,0.220680
0.134709,0.218540
0.154131,0.237695
0.133505,0.217504
0.147822,0.232197
0.133627,0.219095
0.133442,0.217484
0.133860,0.218134
0.133633,0.217912
0.144499,0.233055
0.174467,0.258614
0.133015,0.214917
0.134155,0.214868
0.131802,0.211834
0.132409,0.212962
0.133100,0.213552
0.133310,0.214117
0.134260,0.215116
0.160610,0.239584
0.133493,0.216296
0.133294,0.218146
0.138407,0.219918
0.133840,0.216269
0.133374,0.216004
0.133864,0.219603
0.161770,0.245009
0.157244,0.240237
0.133014,0.217253
0.133907,0.217585
0.134478,0.219328
0.132992,0.217942
0.133445,0.217556
0.134623,0.218636
0.133830,0.217822
0.154527,0.238845
0.133728,0.220298
0.133736,0.219275
0.134909,0.218623
0.132381,0.216011
0.134580,0.219900
0.133665,0.219713
0.134571,0.218949
0.161306,0.244776
0.132723,0.216637
0.132496,0.217669
0.133109,0.217746
0.134067,0.219008
0.135246,0.219676
0.133885,0.218551
0.135390,0.220972
0.154866,0.238464
0.133609,0.217611
0.133353,0.217065
0.132579,0.217006
0.134085,0.219061
0.133957,0.218670
0.133548,0.217063
0.134771,0.218665
0.154698,0.238268
0.132995,0.217787
0.132394,0.217078
0.132922,0.216819
0.134086,0.222275
0.133288,0.217650
0.135338,0.222473
0.134445,0.219499
0.153752,0.236678
0.168629,0.248472
0.132559,0.216212
0.133082,0.218390
0.134004,0.219074
0.134168,0.219163
0.135305,0.218863
0.134195,0.218088
0.154283,0.238512
0.135459,0.221047
0.138238,0.233637
0.136613,0.224940
0.133732,0.217794
0.133779,0.218436
0.134523,0.219108
0.134085,0.218525
0.153122,0.243888
0.133384,0.218135
0.132163,0.217005
0.140169,0.224860
0.135925,0.220369
0.134755,0.218874
0.133771,0.217606
0.134166,0.220072
0.162499,0.246470
0.133362,0.217484
0.132198,0.216433
0.132142,0.216019
0.133141,0.218192
0.133702,0.219351
0.133934,0.218125
0.134625,0.218657
0.153255,0.236802
0.133719,0.218724
0.142626,0.227239
0.132548,0.216051
0.132729,0.216756
0.132875,0.217038
0.151180,0.235727
0.134226,0.220011
0.162136,0.245351
0.133738,0.218128
0.133747,0.217980
0.161410,0.241371
0.133583,0.219583
0.132995,0.217049
0.133980,0.218497
0.133610,0.217850
0.153835,0.237799
0.148142,0.232589
0.132936,0.214284
0.132455,0.213534
0.132412,0.212012
0.132735,0.213526
0.134733,0.216127
0.134382,0.216224
0.155594,0.236764
0.132830,0.214565
0.139949,0.223794
0.135048,0.217518
0.133022,0.214370
0.133078,0.215971
0.132820,0.216609
0.134696,0.219197
0.154115,0.237415
0.143272,0.227141
0.132975,0.219249
0.133335,0.217543
0.133398,0.217667
0.134510,0.218652
0.133530,0.217838
0.133664,0.218201
0.162108,0.245665
0.133083,0.218184
0.133822,0.218419
0.134902,0.219395
0.133073,0.216990
0.132806,0.218859
0.133595,0.218642
0.136003,0.220572
0.158592,0.242419
0.160864,0.244250
0.131868,0.216159
0.132643,0.216738
0.133678,0.218493
0.162106,0.245612
0.133436,0.217503
0.134003,0.218925
0.153856,0.237936
0.131465,0.216324
0.132956,0.217151
0.132231,0.216699
0.133490,0.218091
0.133517,0.218521
0.149255,0.233692
0.134125,0.218781
0.153458,0.237167
0.132067,0.218054
0.131833,0.218401
0.147643,0.232672
0.133195,0.217312
0.132522,0.216830
0.133657,0.218702
0.133453,0.218096
0.153449,0.237808
0.132241,0.216200
0.132828,0.216889
0.132609,0.216734
0.133476,0.219338
0.133891,0.219424
0.132052,0.213504
0.131714,0.213322
0.152259,0.231409
0.133961,0.214306
0.129568,0.210213
0.130987,0.213090
0.132829,0.215263
0.133830,0.217304
0.134575,0.218221
0.133129,0.215213
0.153144,0.236212
0.133374,0.219669
0.131162,0.212933
0.133332,0.213254
0.134173,0.215727
0.133073,0.214530
0.133163,0.214531
0.133831,0.216458
0.192275,0.270168
0.134335,0.216881
0.133808,0.216079
0.132260,0.215046
0.132051,0.215974
0.134296,0.219459
0.133946,0.218345
0.134046,0.219872
0.152886,0.236715
0.133937,0.219019
0.149639,0.233503
0.144632,0.228972
0.133593,0.217639
0.133267,0.218392
0.133422,0.217640
0.133702,0.218170
0.154841,0.238906
0.133457,0.219282
0.134159,0.217856
0.131899,0.216669
0.132869,0.219393
0.133514,0.218923
0.133226,0.218822
0.133656,0.219964
0.152923,0.238208
0.132875,0.218947
0.133823,0.218982
0.134239,0.218683
0.134447,0.219675
0.132904,0.218179
0.134428,0.219676
0.135034,0.220202
0.161681,0.244880
0.133976,0.218172
0.132518,0.218680
0.163594,0.249756
0.133688,0.218822
0.132622,0.217343
0.133369,0.219592
0.149139,0.233133
0.154844,0.239081
0.134762,0.218717
0.162134,0.245111
0.133988,0.218324
0.133833,0.219317
0.133827,0.219446
0.134575,0.218724
0.134141,0.219746
0.173884,0.256741
0.133640,0.219796
0.135079,0.220824
0.135289,0.220612
0.141086,0.225428
0.134299,0.219085
0.134204,0.220226
0.134770,0.219882
0.157482,0.242094
0.140661,0.221920
