starttransfer,total
0.093300,0.176007
0.083180,0.165949
0.082322,0.163510
0.111401,0.193025
0.085569,0.169387
0.089574,0.172491
0.088938,0.176147
0.085527,0.171506
0.085482,0.175706
0.087786,0.177035
0.090637,0.178354
0.089465,0.178529
0.088171,0.178009
0.088004,0.176098
0.088166,0.175235
0.088723,0.179698
0.088282,0.176786
0.088411,0.176830
0.096690,0.185529
0.088266,0.177584
0.088058,0.179721
0.088330,0.180046
0.089135,0.181070
0.091305,0.183891
0.089319,0.181761
0.088467,0.178428
0.088862,0.179139
0.088844,0.187281
0.090899,0.181640
0.088898,0.179169
0.089857,0.181261
0.089385,0.179672
0.089543,0.185406
0.094996,0.188480
0.091204,0.181735
0.089127,0.179532
0.088595,0.180430
0.096796,0.186081
0.088870,0.180314
0.088767,0.179659
0.090755,0.181119
0.088598,0.178613
0.090455,0.182800
0.088854,0.181836
0.112032,0.201789
0.089261,0.181696
0.089301,0.190936
0.088565,0.178907
0.089202,0.181146
0.088740,0.178941
0.089211,0.180252
0.089700,0.182775
0.089150,0.178633
0.088839,0.180698
0.117657,0.208384
0.090076,0.180450
0.096987,0.184209
0.088872,0.180068
0.089287,0.179712
0.088731,0.178825
0.089520,0.179727
0.092704,0.185976
0.089307,0.179452
0.089543,0.179987
0.088359,0.178872
0.089531,0.184296
0.090581,0.181287
0.088297,0.178097
0.089937,0.180554
0.088817,0.179591
0.089561,0.179483
0.089941,0.180309
0.096539,0.186813
0.089004,0.178657
0.088417,0.178113
0.098515,0.187565
0.090627,0.181085
0.089968,0.180664
0.090923,0.182107
0.089065,0.179199
0.090486,0.181623
0.089898,0.181106
0.089213,0.178870
0.090552,0.181926
0.088730,0.184521
0.089635,0.181780
0.088867,0.179758
0.090054,0.180782
0.090081,0.181390
0.088827,0.180041
0.089471,0.180733
0.089636,0.179911
0.088859,0.179064
0.089627,0.179720
0.095775,0.183307
0.089165,0.180096
0.089739,0.183411
0.089812,0.181378
0.089352,0.179858
0.089726,0.180036
0.089743,0.180149
0.090235,0.183350
0.090230,0.181979
0.088955,0.184458
0.089418,0.180334
0.118593,0.206227
0.089612,0.181216
0.088550,0.179840
0.089791,0.180530
0.087951,0.179632
0.089959,0.180235
0.089658,0.180931
0.089247,0.180084
0.096666,0.183960
0.088895,0.178785
0.089338,0.179395
0.089848,0.182044
0.089357,0.181307
0.090855,0.182155
0.089776,0.179374
0.089300,0.179512
0.089451,0.179604
0.089408,0.186992
0.090249,0.180663
0.088708,0.178896
0.089695,0.179991
0.089492,0.180017
0.089147,0.180010
0.089111,0.179875
0.088930,0.179074
0.089126,0.179345
0.089871,0.179589
0.096682,0.184292
0.089158,0.179366
0.088470,0.178286
0.089631,0.179769
0.089506,0.180252
0.090727,0.182692
0.089750,0.181603
0.088708,0.179302
0.089684,0.179735
0.089520,0.186445
0.088437,0.177918
0.089062,0.181769
0.110749,0.203452
0.089442,0.179744
0.089587,0.179850
0.089116,0.180194
0.089309,0.180869
0.090091,0.179692
0.090874,0.182113
0.096778,0.186854
0.088563,0.178024
0.089314,0.179960
0.089054,0.179456
0.089557,0.179025
0.090974,0.182649
0.117634,0.204329
0.088639,0.181405
0.089142,0.181359
0.089641,0.184538
0.090779,0.180928
0.104378,0.194945
0.089761,0.179471
0.089158,0.179820
0.089665,0.180694
0.089263,0.179172
0.090230,0.181349
0.090670,0.182023
0.088845,0.179225
0.097061,0.184472
0.088960,0.178691
0.088555,0.178420
0.089574,0.180076
0.088987,0.181617
0.091545,0.182296
0.089271,0.179709
0.088896,0.178541
0.089557,0.179704
0.088751,0.184506
0.090583,0.181439
0.091765,0.185000
0.089530,0.179728
0.092099,0.182816
0.088808,0.179976
0.090311,0.183580
0.089532,0.181862
0.089025,0.179542
0.089333,0.179846
0.096734,0.183611
0.091023,0.183075
0.089723,0.193677
0.089794,0.181586
0.090140,0.180420
0.091921,0.181911
0.090913,0.181850
0.089123,0.179771
0.089085,0.179419
0.088908,0.190327
0.088963,0.179419
0.090760,0.180989
0.089157,0.181164
0.089679,0.180229
0.089115,0.178819
0.088588,0.178541
0.098158,0.188037
0.089916,0.182114
0.118024,0.206298
0.094567,0.181524
0.088446,0.178783
0.089600,0.180125
0.089459,0.183282
0.088312,0.180922
0.089986,0.183521
0.086254,0.172406
0.086150,0.173638
0.085956,0.173482
0.087208,0.188872
0.090943,0.178517
0.086658,0.171642
0.087698,0.173127
0.087479,0.173076
0.087104,0.172763
0.087393,0.171575
0.087160,0.173845
0.087719,0.174865
0.088285,0.175569
0.088720,0.179341
0.088352,0.179597
0.087714,0.175045
0.089124,0.177198
0.088240,0.175543
0.087890,0.176003
0.089107,0.179669
0.088323,0.177485
0.088792,0.178065
0.088686,0.183765
0.089339,0.181890
0.089573,0.179767
0.090198,0.181414
0.090343,0.181254
0.088523,0.177457
0.089612,0.180371
0.089356,0.179225
0.089163,0.182818
0.091475,0.181163
0.089262,0.188142
0.088948,0.179006
0.089364,0.179927
0.089326,0.180308
0.090241,0.180881
0.088780,0.178657
0.088212,0.177962
0.089511,0.179224
0.088960,0.181579
0.090601,0.180157
0.093670,0.184329
0.088576,0.178800
