starttransfer,total
0.100039,0.178894
0.085516,0.162948
0.087804,0.167562
0.091027,0.176581
0.088688,0.167482
0.090869,0.175796
0.090499,0.171926
0.093096,0.176389
0.091335,0.174009
0.092731,0.180775
0.093096,0.176240
0.094217,0.177779
0.093451,0.180386
0.101511,0.182856
0.092872,0.176576
0.092914,0.178194
0.093508,0.177971
0.093603,0.179497
0.093715,0.181283
0.094040,0.180616
0.095158,0.181983
0.095047,0.183088
0.098424,0.189710
0.098947,0.193537
0.095201,0.182612
0.095045,0.180788
0.094365,0.181719
0.094991,0.182667
0.093727,0.181510
0.095462,0.181695
0.123721,0.208938
0.094102,0.179832
0.098011,0.180688
0.094457,0.182145
0.094903,0.182743
0.094175,0.180128
0.094268,0.183215
0.094951,0.180847
0.096290,0.182594
0.095128,0.182979
0.095935,0.182444
0.094403,0.183030
0.094411,0.181649
0.094737,0.179945
0.094920,0.180659
0.094422,0.181872
0.095581,0.181001
0.094307,0.181827
0.094486,0.181906
0.094913,0.181136
0.095387,0.187015
0.095054,0.182941
0.094436,0.179366
0.095072,0.180901
0.094990,0.182262
0.095169,0.180796
0.122768,0.206658
0.094211,0.179801
0.096333,0.182881
0.095210,0.182534
0.102709,0.185305
0.095861,0.182844
0.094516,0.179871
0.094951,0.181095
0.094107,0.179589
0.096329,0.182699
0.094639,0.180901
0.094555,0.180352
0.094523,0.180037
0.094884,0.186063
0.094692,0.180640
0.094875,0.180107
0.094384,0.180241
0.094602,0.180620
0.094611,0.180609
0.094681,0.180297
0.095266,0.181114
0.095064,0.180286
0.094258,0.179760
0.102118,0.187587
0.094776,0.181245
0.095456,0.181866
0.094319,0.180523
0.095371,0.180792
0.095010,0.181384
0.094706,0.182303
0.094850,0.180974
0.095351,0.180968
0.094326,0.184079
0.095127,0.181191
0.094946,0.182795
0.094883,0.180873
0.094776,0.180015
0.094269,0.180454
0.094713,0.181771
0.095253,0.181282
0.095739,0.181877
0.094405,0.179656
0.097785,0.183204
0.095194,0.181586
0.095696,0.181526
0.094701,0.180273
0.094823,0.180258
0.095113,0.181280
0.094810,0.180493
0.094716,0.180184
0.123101,0.207110
0.094619,0.184183
0.093956,0.181212
0.095096,0.180523
0.094513,0.180568
0.095083,0.181071
0.094451,0.180475
0.095354,0.181490
0.095233,0.181420
0.094886,0.180232
0.094990,0.185760
0.094334,0.179559
0.094556,0.180679
0.094982,0.180629
0.094809,0.180957
0.094697,0.180697
0.094950,0.180646
0.094257,0.180399
0.094901,0.180790
0.095054,0.181150
0.103141,0.185994
0.095967,0.182032
0.094733,0.180610
0.095852,0.181028
0.094785,0.180053
0.095592,0.181374
0.095070,0.181403
0.094037,0.179178
0.095062,0.180065
0.094917,0.185259
0.094537,0.179924
0.094747,0.180862
0.095144,0.180759
0.094839,0.179827
0.094823,0.180350
0.095136,0.180236
0.095040,0.181038
0.095749,0.181592
0.094828,0.180309
0.102161,0.185256
0.094881,0.180212
0.095449,0.181008
0.095030,0.180412
0.094927,0.180166
0.094564,0.180404
0.095613,0.181146
0.095222,0.180770
0.096282,0.183079
0.095830,0.186445
0.094013,0.179248
0.099634,0.184753
0.122230,0.204221
0.096249,0.183558
0.096082,0.182543
0.094689,0.179699
0.095553,0.180416
0.094463,0.180124
0.096192,0.182317
0.099904,0.182845
0.094451,0.180081
0.094585,0.179980
0.094355,0.180144
0.096044,0.182025
0.094219,0.179117
0.094784,0.180100
0.095275,0.180839
0.094791,0.180463
0.096705,0.185855
0.094831,0.179643
0.095855,0.182474
0.094241,0.179734
0.094432,0.179846
0.095456,0.186735
0.094591,0.180420
0.095712,0.181555
0.095405,0.181292
0.094614,0.185371
0.097547,0.183879
0.096649,0.182809
0.095749,0.183845
0.098679,0.189267
0.094764,0.181088
0.114394,0.199894
0.095481,0.181073
0.093616,0.179332
0.094728,0.180253
0.094722,0.183234
0.094768,0.180413
0.094448,0.180666
0.093950,0.179675
0.094979,0.180358
0.094211,0.182684
