starttransfer,total
0.147467,0.228038
0.132231,0.212348
0.129277,0.210159
0.132543,0.212219
0.133923,0.214057
0.159390,0.238040
0.134068,0.217097
0.137560,0.223746
0.144598,0.225909
0.138356,0.223852
0.139652,0.223003
0.138612,0.224433
0.138780,0.226456
0.158731,0.242174
0.139506,0.224518
0.139072,0.228730
0.138161,0.223142
0.139253,0.228119
0.150650,0.236127
0.138717,0.227074
0.138764,0.226833
0.158511,0.245326
0.139713,0.227296
0.140551,0.229280
0.147392,0.235970
0.137842,0.225424
0.138062,0.226053
0.138547,0.227751
0.154582,0.241946
0.168192,0.254220
0.138055,0.225879
0.138058,0.226066
0.138249,0.226319
0.138360,0.227615
0.167136,0.251519
0.138828,0.227160
0.139397,0.229634
0.159034,0.245206
0.139031,0.226539
0.140672,0.228329
0.138173,0.226244
0.139631,0.227513
0.138649,0.227881
0.139308,0.228747
0.139876,0.227639
0.159384,0.245354
0.138163,0.225520
0.138405,0.225572
0.151990,0.238714
0.138557,0.226484
0.138584,0.226080
0.139458,0.228542
0.138515,0.227550
0.173137,0.259832
0.138714,0.226795
0.138649,0.255770
0.137391,0.224898
0.139673,0.227373
0.152284,0.241833
0.138588,0.227037
0.139600,0.227957
0.158769,0.244864
0.138262,0.225372
0.139660,0.229443
0.138284,0.226101
0.139623,0.227747
0.137367,0.225785
0.138881,0.226684
0.139744,0.229305
0.158470,0.243625
0.139222,0.227268
0.139312,0.227085
0.138975,0.226084
0.152291,0.238935
0.139181,0.227279
0.168746,0.253793
0.139878,0.227562
0.159597,0.244824
0.139317,0.226876
0.138143,0.225560
0.136383,0.224235
0.140047,0.227125
0.149098,0.246120
0.139827,0.227563
0.149412,0.237104
0.160295,0.247261
0.139311,0.227558
0.139555,0.228316
0.137699,0.225497
0.138377,0.225535
0.152941,0.240045
0.138460,0.226235
0.139878,0.227934
0.167841,0.254046
0.138394,0.226213
0.138665,0.231319
0.137216,0.224247
0.138862,0.223490
0.137776,0.222463
0.137822,0.222873
0.153228,0.238115
0.161386,0.245358
0.139095,0.225512
0.138489,0.226285
0.138249,0.224158
0.140524,0.227753
0.137405,0.224832
0.138855,0.226553
0.153388,0.240110
0.159116,0.245390
0.139106,0.226660
0.138365,0.225845
0.139919,0.227792
0.138150,0.227921
0.138337,0.225695
0.138425,0.226201
0.167837,0.253407
0.161174,0.247432
0.138013,0.226980
0.138702,0.226489
0.139633,0.229349
0.155691,0.242407
0.139520,0.227687
0.138052,0.226323
0.139479,0.227563
0.160047,0.247314
0.141381,0.232439
0.142358,0.229268
0.139132,0.226702
0.138831,0.226608
0.138859,0.226599
0.152326,0.240117
0.139094,0.228075
0.160148,0.246638
0.138778,0.226589
0.139326,0.231015
0.167080,0.251470
0.148128,0.235508
0.138809,0.226760
0.151962,0.238404
0.139258,0.228033
0.160523,0.247254
0.139333,0.227485
0.139588,0.227739
0.137190,0.224670
0.140146,0.228173
0.138358,0.225948
0.139031,0.228501
0.153661,0.240006
0.158715,0.244828
0.139434,0.229143
0.140102,0.228078
0.138085,0.227239
0.138470,0.226895
0.138278,0.225867
0.152477,0.240460
0.138458,0.226863
0.159206,0.246925
0.138406,0.226046
0.138478,0.226209
0.153269,0.243921
0.139230,0.227548
0.138419,0.226983
0.138111,0.225904
0.139098,0.227417
0.168635,0.253600
0.138502,0.229862
0.139735,0.227961
0.137772,0.226741
0.137927,0.226717
0.138422,0.227599
0.138185,0.226394
0.139925,0.227903
0.159145,0.244332
0.140037,0.228312
0.139275,0.230874
0.138821,0.225839
0.168112,0.255679
0.138159,0.226265
0.138376,0.226766
0.139551,0.229137
0.159694,0.247106
0.139152,0.227013
0.138527,0.225941
0.146055,0.233585
0.138726,0.226401
0.138952,0.227622
0.139156,0.227374
0.138358,0.226231
0.160122,0.244428
0.138613,0.225763
0.138660,0.226634
0.140161,0.228535
0.137867,0.227130
0.138177,0.226070
0.138430,0.226093
0.139091,0.229852
0.160871,0.246692
0.138698,0.226531
0.138656,0.226507
0.139479,0.227411
0.138245,0.225866
0.139091,0.227331
0.137806,0.225256
0.139564,0.227281
0.161524,0.246887
0.139026,0.227482
0.139271,0.227318
0.139287,0.226147
0.139038,0.227459
0.138458,0.226649
0.139615,0.227825
0.139924,0.228021
0.159538,0.246419
0.138706,0.227267
0.138055,0.225362
0.154730,0.244343
0.138119,0.226080
0.166487,0.251891
0.138626,0.226454
0.139196,0.227535
0.160097,0.246506
0.138427,0.226353
0.153445,0.240858
0.139439,0.227392
0.137355,0.225005
0.138802,0.227210
0.138920,0.226662
0.144393,0.232667
0.173592,0.258039
0.138515,0.226732
0.153583,0.240657
0.153379,0.240545
0.137970,0.226825
0.138575,0.227343
0.138219,0.225968
0.139524,0.228191
0.180024,0.263651
0.138680,0.228042
0.139261,0.229248
0.138205,0.225316
0.139091,0.226799
0.152579,0.239457
0.138515,0.225861
0.138780,0.226932
0.159242,0.243601
0.138923,0.227481
0.152939,0.239474
0.138273,0.226019
0.139881,0.227969
0.140648,0.229725
0.138554,0.226108
0.154461,0.241855
0.168499,0.254517
0.138834,0.228069
0.138653,0.228228
0.150229,0.239630
0.154934,0.241472
0.167213,0.252015
0.152038,0.238873
0.138723,0.226774
0.160645,0.245758
0.138755,0.226935
0.139080,0.227120
0.138473,0.226167
0.138253,0.227597
0.138898,0.228535
0.138972,0.226765
0.139469,0.227173
0.161085,0.246091
0.139969,0.228028
0.139414,0.227588
0.144936,0.232775
0.139541,0.226244
0.138634,0.226605
0.138289,0.226163
0.139380,0.227023
0.159961,0.245451
0.138674,0.225084
0.140335,0.226338
0.138462,0.223547
0.139401,0.224986
0.138556,0.224057
0.138073,0.223704
0.139317,0.225662
0.167713,0.262236
0.164461,0.258453
