starttransfer,total
0.149873,0.226766
0.129995,0.207510
0.133056,0.215161
0.136585,0.216225
0.162463,0.274330
0.139054,0.216727
0.133117,0.213188
0.136487,0.218539
0.135725,0.218892
0.137107,0.219408
0.140351,0.224489
0.154196,0.236599
0.141542,0.259245
0.147081,0.230736
0.141252,0.225796
0.146046,0.230694
0.138240,0.222516
0.142377,0.226288
0.148627,0.232422
0.139458,0.226780
0.139541,0.247230
0.145455,0.229327
0.139460,0.224136
0.138278,0.223737
0.138995,0.225294
0.139177,0.227459
0.138552,0.223635
0.144597,0.229113
0.164845,0.248032
0.140153,0.225374
0.137595,0.222449
0.138732,0.224403
0.140206,0.225332
0.139587,0.224106
0.139565,0.224417
0.140225,0.225086
0.161793,0.244814
0.144895,0.230000
0.138051,0.223358
0.138485,0.225285
0.140168,0.225613
0.138943,0.225587
0.139846,0.225200
0.139970,0.224682
0.170664,0.252855
0.139714,0.224891
0.167426,0.249916
0.137779,0.222831
0.139314,0.223135
0.138390,0.223782
0.139533,0.224394
0.138720,0.247348
0.139461,0.223661
0.139758,0.225098
0.138668,0.223683
0.152781,0.236033
0.138553,0.222699
0.140978,0.225573
0.140148,0.225578
0.141886,0.256714
0.142946,0.227441
0.139040,0.223503
0.138836,0.223265
0.138434,0.222675
0.151392,0.235033
0.138581,0.223739
0.140232,0.222708
0.170254,0.276162
0.136182,0.217745
0.147797,0.230582
0.139925,0.222877
0.137860,0.221469
0.137849,0.221115
0.138361,0.221750
0.138282,0.219334
0.152499,0.258266
0.147883,0.228214
0.138485,0.220805
0.132217,0.211845
0.135953,0.217109
0.141055,0.221741
0.148896,0.229575
0.138856,0.221812
0.162254,0.245903
0.139225,0.223187
0.139009,0.222113
0.152363,0.235274
0.138152,0.223257
0.140693,0.223075
0.138048,0.220579
0.139072,0.221979
0.170760,0.250617
0.147960,0.227980
0.135416,0.217375
0.138076,0.220736
0.139139,0.220669
0.137498,0.220159
0.140318,0.224201
0.138786,0.221504
0.161868,0.242594
0.138403,0.223494
0.139307,0.223988
0.139351,0.222429
0.138131,0.219829
0.137442,0.219020
0.138817,0.221835
0.138840,0.243305
0.149708,0.229537
0.137746,0.218659
0.163278,0.238946
0.146380,0.224187
0.137272,0.218173
0.138340,0.219427
0.149719,0.230985
0.146702,0.252133
0.138619,0.221534
0.137682,0.220472
0.138978,0.222118
0.139045,0.222718
0.135157,0.216183
0.138340,0.219664
0.139835,0.223176
0.140003,0.248517
0.137659,0.220752
0.137206,0.219987
0.137174,0.220882
0.137707,0.221973
0.138619,0.224064
0.140380,0.224103
0.139114,0.223678
0.139263,0.247419
0.138118,0.222449
0.137538,0.222601
0.138402,0.222694
0.138332,0.223503
0.138751,0.223457
0.138066,0.222558
0.140547,0.225523
0.159978,0.245055
0.138438,0.222637
0.137703,0.222712
0.137619,0.222041
0.138756,0.224780
0.143628,0.227646
0.139250,0.225142
0.138347,0.223724
0.160905,0.240004
0.134861,0.215891
0.137417,0.218032
0.137957,0.220327
0.137450,0.220742
0.178602,0.257806
0.138410,0.221345
0.153382,0.235912
0.162039,0.242652
0.138374,0.222916
0.138334,0.222032
0.137201,0.220343
0.139143,0.224500
0.138770,0.222899
0.138635,0.222900
0.154045,0.237626
0.160582,0.244306
0.147407,0.234848
0.137082,0.223935
0.139339,0.223241
0.139305,0.223279
0.153558,0.237605
0.140115,0.225735
0.139055,0.246013
0.138015,0.220561
0.139100,0.221895
0.136310,0.220617
0.137840,0.221131
0.138257,0.221557
0.139024,0.223218
0.139444,0.225436
0.138520,0.246009
0.139092,0.223999
0.139019,0.223574
0.139993,0.225926
0.138495,0.225321
0.138579,0.223191
0.139427,0.224663
0.138511,0.223419
0.138673,0.246905
0.138010,0.222090
0.138305,0.222801
0.153871,0.242037
0.138192,0.223486
0.138929,0.223262
0.138375,0.222511
0.140079,0.225731
0.195457,0.317722
0.137865,0.222757
0.140001,0.226173
0.148498,0.243963
0.146434,0.241546
0.160483,0.255607
0.149607,0.245513
0.139381,0.244817
0.137574,0.223193
0.138986,0.224076
0.138775,0.225029
0.149602,0.233229
0.149829,0.231917
0.146665,0.229894
0.141505,0.225493
0.139202,0.247545
0.139507,0.222863
0.139328,0.224666
0.138553,0.225565
0.138501,0.224914
0.138703,0.223544
0.140384,0.226393
0.140747,0.226580
0.152936,0.259950
0.135965,0.218449
0.136800,0.219800
0.140251,0.224697
0.151982,0.237054
0.137793,0.221338
0.138978,0.222264
0.138891,0.223039
0.139618,0.246703
0.138616,0.223287
0.138259,0.223528
0.138617,0.223785
0.139575,0.236859
0.160704,0.252510
0.141797,0.228926
0.138213,0.223268
0.164524,0.247487
0.138074,0.223364
0.167797,0.249803
0.138903,0.224241
0.138892,0.223807
0.139140,0.225087
0.138923,0.224246
0.138658,0.224161
0.162574,0.244904
0.136807,0.222120
0.138853,0.223866
0.139156,0.224694
0.141040,0.226156
0.138667,0.223456
0.138184,0.223471
0.138831,0.224534
0.167749,0.252039
0.137594,0.222686
0.137299,0.222366
0.137492,0.222185
0.138541,0.223879
0.139061,0.226576
0.138565,0.223514
0.138643,0.245101
0.138130,0.222976
0.136412,0.219941
0.137624,0.220719
0.137926,0.221457
0.137748,0.221343
0.137071,0.220928
0.139692,0.224182
0.153617,0.260303
0.138247,0.222969
0.138736,0.224739
0.137843,0.222730
0.138022,0.223326
0.137882,0.224743
0.143821,0.230659
0.140358,0.226797
0.151313,0.264807
0.138652,0.223506
0.139691,0.225761
0.137926,0.222869
0.138838,0.224567
0.165738,0.247545
0.137926,0.222017
0.138977,0.222273
0.139105,0.247190
0.138255,0.221531
0.136432,0.220782
0.137639,0.221259
0.138248,0.223254
0.139291,0.224621
0.149388,0.234637
0.138309,0.224287
0.139315,0.246199
0.137970,0.222948
0.136959,0.222181
0.137902,0.223263
0.139425,0.225340
0.139483,0.224888
0.142096,0.230042
0.138726,0.223682
0.163648,0.246485
0.137090,0.224415
0.139155,0.224317
0.137843,0.223136
0.139192,0.226653
0.138222,0.222726
0.137805,0.223236
0.139244,0.224402
0.162211,0.244412
0.140397,0.225915
0.139507,0.225945
0.137538,0.223351
0.138314,0.225488
0.139108,0.224595
0.139300,0.228798
0.138229,0.226009
0.160251,0.244957
0.152462,0.236108
0.152146,0.235566
0.139713,0.225062
0.138301,0.225826
0.137310,0.222342
0.145900,0.232993
0.168791,0.271371
0.139202,0.224026
0.137478,0.222430
0.139014,0.221042
0.135092,0.216000
0.147874,0.229450
0.131919,0.211976
0.151559,0.232714
0.137638,0.242881
0.146417,0.226269
0.138861,0.221219
0.139725,0.222348
0.137071,0.220412
0.138273,0.222116
0.137943,0.221384
0.150024,0.232093
0.141022,0.249540
0.138761,0.223030
0.139007,0.225249
0.138585,0.229650
0.138387,0.226112
0.139055,0.225895
0.138379,0.225371
0.139025,0.224563
0.138958,0.248658
0.138624,0.223098
0.139215,0.224681
0.139142,0.223384
0.137523,0.219926
0.137097,0.220548
0.136175,0.219516
0.139476,0.222917
0.139219,0.251660
0.152090,0.234708
0.138918,0.223403
0.139030,0.222798
0.152393,0.236332
0.137485,0.224784
0.151826,0.235925
0.138389,0.224005
0.171824,0.253592
0.139513,0.224455
0.167428,0.249256
0.139169,0.224798
0.137310,0.223773
0.138718,0.223792
0.138980,0.226313
0.139550,0.225279
0.162667,0.243682
0.138480,0.222078
0.138182,0.223456
0.140143,0.223119
0.138614,0.221973
0.139544,0.224082
0.139175,0.223529
0.144732,0.229524
0.162639,0.244154
0.136552,0.222186
0.137488,0.222270
0.138016,0.222662
0.138622,0.223483
0.138130,0.222831
0.139315,0.224421
0.138380,0.244474
0.139185,0.224014
0.137353,0.222277
0.138114,0.223034
0.138104,0.222460
0.138389,0.225767
0.138237,0.223215
0.139436,0.224346
0.138942,0.246550
0.138545,0.223021
0.173366,0.258349
0.138455,0.222894
0.138249,0.223113
0.139094,0.225547
0.139187,0.223952
0.138844,0.223803
0.139857,0.249093
0.138895,0.223424
0.139628,0.225955
0.141498,0.230201
0.137814,0.220805
0.167939,0.246863
0.139027,0.222560
0.138841,0.224665
0.139379,0.248574
0.138238,0.221822
0.137231,0.223357
0.138724,0.222413
0.137568,0.222361
0.137917,0.224827
0.137872,0.225137
0.138783,0.223471
0.138908,0.245547
0.139118,0.224140
0.136741,0.220887
0.136273,0.219465
0.137139,0.220167
0.138884,0.221913
0.138180,0.222264
0.138881,0.222384
0.162184,0.244228
0.138367,0.222403
0.151391,0.234497
0.137372,0.222052
0.137415,0.221574
0.137094,0.221123
0.138571,0.224259
0.152923,0.237460
0.162357,0.244775
0.138564,0.223534
0.138420,0.227423
0.138328,0.223138
0.150977,0.237419
0.139051,0.223769
0.139678,0.224369
0.154174,0.238011
0.162065,0.244832
0.138061,0.224664
0.139730,0.224517
0.139234,0.224421
0.138720,0.223806
0.138064,0.223151
0.138895,0.224675
0.167761,0.249124
0.155097,0.239368
0.138140,0.221119
0.138411,0.220943
0.138939,0.224004
0.140244,0.223598
0.140006,0.224952
0.137979,0.221757
0.139595,0.256178
0.138918,0.222605
0.139225,0.224542
0.140617,0.225054
0.137084,0.221495
0.137757,0.224899
0.138626,0.222845
0.139320,0.224995
0.139512,0.258737
0.137368,0.222717
0.139071,0.224001
0.138907,0.223596
0.138346,0.223878
0.139441,0.223903
0.137285,0.222826
0.138814,0.223723
0.139146,0.256435
0.139012,0.226159
0.139282,0.224115
0.138600,0.223528
0.141952,0.226893
0.138615,0.223785
0.138458,0.225502
0.138780,0.223683
0.137839,0.245136
0.139270,0.224110
0.138131,0.222963
0.138615,0.226001
0.143257,0.227707
0.137269,0.222249
0.138472,0.222915
0.138425,0.223455
0.165285,0.250907
0.139208,0.225766
0.166929,0.250606
0.138442,0.222879
0.139364,0.223681
0.144839,0.229456
0.138326,0.222622
0.137189,0.222370
0.162238,0.244975
0.137958,0.221950
0.154045,0.238150
0.139524,0.225832
0.138616,0.223962
0.137181,0.223654
0.138227,0.223327
0.153740,0.239518
0.173089,0.255018
0.150516,0.235124
0.151694,0.236362
0.137621,0.223032
0.137942,0.223439
0.139069,0.225043
0.152954,0.237615
0.154033,0.238621
0.184199,0.268493
0.137944,0.222905
0.137312,0.221835
0.152245,0.236718
0.142745,0.238514
0.138259,0.223620
0.138352,0.222942
0.138660,0.246602
0.144851,0.228347
0.136623,0.221300
0.136057,0.221776
0.136875,0.220561
0.137687,0.221392
0.138532,0.222550
0.138807,0.224035
0.138859,0.246821
0.138012,0.221636
0.136781,0.221544
0.137060,0.221144
0.140165,0.225211
0.167017,0.250635
0.152756,0.251714
0.153938,0.251550
0.163032,0.241440
0.150561,0.248716
0.151265,0.247278
0.136499,0.218928
0.139112,0.222409
0.138338,0.223384
0.169345,0.268143
0.164588,0.245086
0.138012,0.221474
0.134984,0.216300
0.146893,0.226142
0.138064,0.219117
0.150021,0.231580
0.138747,0.222307
0.139012,0.242690
0.149123,0.231270
0.136585,0.217429
0.137567,0.220165
0.137986,0.220003
0.136490,0.217826
0.138619,0.222565
0.139847,0.222480
0.137798,0.250918
0.138508,0.221845
0.138191,0.222661
0.146793,0.230346
0.138462,0.223215
0.137917,0.222007
0.140281,0.225828
0.139085,0.223885
0.139690,0.248270
0.138780,0.223333
0.149295,0.233402
0.146944,0.231653
0.138115,0.223383
0.138721,0.225125
0.138383,0.222787
0.138881,0.223702
0.168118,0.275467
0.138999,0.223802
0.139374,0.224193
0.140363,0.223973
0.137452,0.222960
