starttransfer,total
0.149347,0.229868
0.151572,0.228539
0.122054,0.202426
0.152748,0.228316
0.125309,0.203817
0.130706,0.210792
0.128382,0.208851
0.130520,0.214883
0.130791,0.212515
0.153841,0.232672
0.133890,0.216923
0.130578,0.213971
0.131735,0.215578
0.131682,0.214325
0.131858,0.215700
0.132231,0.217015
0.132844,0.238260
0.131772,0.216895
0.133390,0.219482
0.132084,0.216974
0.132408,0.219130
0.132247,0.218709
0.132374,0.219521
0.133558,0.218804
0.132656,0.240763
0.132231,0.218529
0.133741,0.219963
0.133664,0.219927
0.135471,0.221072
0.133252,0.219066
0.133276,0.220116
0.131792,0.217622
0.133013,0.241843
0.133172,0.218430
0.131964,0.217451
0.134063,0.220618
0.130956,0.216668
0.133028,0.219375
0.132759,0.227988
0.132520,0.218525
0.133040,0.242945
0.132641,0.218906
0.133247,0.219675
0.132514,0.218274
0.131466,0.217609
0.132766,0.219239
0.161963,0.244220
0.132289,0.218188
0.132530,0.241418
0.132654,0.218350
0.132433,0.218143
0.132258,0.218205
0.132039,0.217713
0.131481,0.217060
0.131839,0.217680
0.133563,0.219696
0.132397,0.241034
0.132353,0.218352
0.132320,0.217342
0.132960,0.225363
0.141951,0.227647
0.133641,0.219652
0.134127,0.220890
0.133274,0.219273
0.147456,0.255606
0.144086,0.230764
0.133186,0.218931
0.133540,0.221827
0.137376,0.225158
0.131518,0.217849
0.132383,0.218622
0.133450,0.219089
0.144669,0.251924
0.130200,0.215159
0.131070,0.217116
0.131861,0.217151
0.131089,0.217268
0.132348,0.218220
0.132729,0.218917
0.146697,0.231492
0.169645,0.256722
0.131892,0.217663
0.130914,0.216251
0.131007,0.216575
0.133152,0.219145
0.132242,0.218450
0.132578,0.218464
0.133082,0.219095
0.186511,0.266708
0.138558,0.224063
0.130590,0.216481
0.132182,0.218081
0.132791,0.218982
0.131453,0.217108
0.132346,0.219375
0.132043,0.217851
0.156222,0.239381
0.132350,0.217206
0.131222,0.216763
0.133694,0.218944
0.131736,0.217820
0.132000,0.218192
0.132804,0.218989
0.132654,0.220475
0.163450,0.246285
0.132088,0.224771
0.130509,0.216398
0.131612,0.217790
0.147008,0.231874
0.131963,0.217967
0.131600,0.217723
0.137315,0.222914
0.185229,0.267759
0.148449,0.233438
0.131119,0.216459
0.131243,0.215201
0.134252,0.219017
0.132086,0.215961
0.146304,0.229170
0.132928,0.238100
0.131907,0.215524
0.133408,0.214659
0.132255,0.214013
0.141850,0.219938
0.131455,0.212651
0.132918,0.214629
0.132478,0.214417
0.133833,0.238021
0.139269,0.221563
0.133066,0.215977
0.160573,0.246789
0.131797,0.214985
0.132893,0.216799
0.132233,0.216210
0.132971,0.218616
0.132234,0.240464
0.132323,0.217157
0.132133,0.216753
0.132260,0.217191
0.131756,0.217147
0.131864,0.217776
0.131908,0.217489
0.132822,0.218839
0.133999,0.242522
0.132023,0.216880
0.132537,0.218385
0.135168,0.227896
0.133931,0.220443
0.133227,0.219535
0.132877,0.220533
0.132565,0.218475
0.133651,0.243171
0.132283,0.218938
0.132203,0.217964
0.147700,0.233318
0.135740,0.229420
0.132365,0.218581
0.146567,0.245649
0.146557,0.246434
0.162246,0.240229
0.141677,0.240066
0.144907,0.244511
0.131718,0.215172
0.131550,0.214642
0.132605,0.216619
0.146730,0.248586
0.158070,0.239855
0.132112,0.217563
0.130446,0.213970
0.131890,0.216801
0.131884,0.216802
0.131780,0.218033
0.160147,0.243749
0.132153,0.217905
0.154964,0.239052
0.132000,0.217692
0.131157,0.217269
0.132071,0.217869
0.132437,0.217752
0.132787,0.218478
0.132905,0.217823
0.132347,0.239445
0.132410,0.217961
0.132235,0.214092
0.132644,0.215502
0.131988,0.215475
0.131532,0.215734
0.131707,0.215342
0.145544,0.228969
0.134193,0.240824
0.144837,0.230447
0.131656,0.216094
0.132324,0.218827
0.132113,0.217098
0.132694,0.218858
0.139178,0.223550
0.131713,0.218440
0.132464,0.242159
0.133061,0.219317
0.132585,0.218113
0.132856,0.218547
0.130315,0.216313
0.132614,0.215750
0.132054,0.214758
0.133994,0.217606
0.133368,0.241312
0.132182,0.217018
0.131991,0.215915
0.133455,0.218660
0.134555,0.219812
0.131566,0.217162
0.131710,0.217364
0.133054,0.217887
0.133667,0.242023
0.161037,0.244050
0.132380,0.217796
0.133140,0.218477
0.132776,0.221179
0.131381,0.216803
0.133231,0.219602
0.132971,0.218486
0.132527,0.240821
0.144317,0.229280
0.130497,0.216191
0.136764,0.222566
0.132930,0.219647
0.130904,0.219130
0.133035,0.218709
0.132499,0.218052
0.133964,0.241802
0.132513,0.219382
0.130742,0.216043
0.131439,0.217205
0.131213,0.216675
0.132428,0.218675
0.132373,0.218227
0.131440,0.217460
0.156603,0.241655
0.138705,0.223406
0.130589,0.216397
0.132185,0.217499
0.132690,0.218515
0.132007,0.218705
0.131822,0.217895
0.132887,0.218905
0.157088,0.240325
0.132350,0.219414
0.131155,0.216158
0.130676,0.215592
0.146876,0.231891
0.137531,0.223639
0.131559,0.217277
0.133069,0.219128
0.156225,0.238818
0.133276,0.220075
0.138614,0.224203
0.158962,0.243659
0.132263,0.217647
0.132104,0.217856
0.133350,0.218983
0.133123,0.218564
0.154721,0.237798
0.133392,0.219466
0.133561,0.218706
0.132269,0.219454
0.133134,0.219268
0.146239,0.231669
0.133201,0.218033
0.132528,0.217302
0.155632,0.238823
0.133565,0.218634
0.132198,0.217551
0.131937,0.217103
0.131750,0.216885
0.133781,0.219657
0.132041,0.215272
0.133027,0.237748
0.130654,0.211521
0.131557,0.212932
0.131540,0.213416
0.135667,0.218927
0.131763,0.215311
0.132411,0.216209
0.133495,0.216956
0.135638,0.244700
0.134079,0.216904
0.131366,0.213499
0.132896,0.216247
0.133513,0.214709
0.133057,0.217096
0.132865,0.216200
0.132127,0.214755
0.132796,0.241338
0.132676,0.216207
0.133392,0.215351
0.133900,0.216658
0.132477,0.216737
0.131333,0.215067
0.132478,0.215568
0.162994,0.241949
0.133290,0.240595
0.137270,0.219128
0.131667,0.215698
0.131376,0.215824
0.133304,0.216234
0.132446,0.216420
0.132295,0.216184
0.145646,0.228622
0.132102,0.240218
0.133216,0.216737
0.131727,0.216304
0.131676,0.216857
0.141346,0.226058
0.132413,0.218302
0.132853,0.218785
0.133306,0.219033
0.132757,0.241691
0.133942,0.219836
0.130961,0.215632
0.132046,0.218087
0.136290,0.222537
0.132071,0.217850
0.147823,0.233721
0.132553,0.218627
0.133991,0.241632
0.132886,0.218410
0.133314,0.220356
0.132267,0.220760
0.145860,0.231341
0.135504,0.220907
0.148629,0.236463
0.142382,0.227745
0.132953,0.250910
0.132646,0.218758
0.133041,0.218517
0.132206,0.217915
0.131329,0.219148
0.131995,0.216919
0.132078,0.217551
0.133576,0.219899
0.154003,0.240056
0.160369,0.243924
0.132992,0.218787
0.131967,0.217527
0.132554,0.218409
0.132417,0.217727
0.132034,0.218108
0.132556,0.218404
0.157166,0.242326
0.132975,0.218041
0.132022,0.217369
0.131261,0.220422
0.131895,0.217525
0.131856,0.217989
0.133624,0.219786
0.132942,0.218112
0.155557,0.238657
0.131850,0.217439
0.132828,0.218201
0.132702,0.218076
0.133276,0.219509
0.132045,0.217610
0.132681,0.218752
0.132653,0.219805
0.156866,0.239364
0.132154,0.218121
0.132564,0.218571
0.133662,0.218513
0.132520,0.218374
0.133037,0.218774
0.132483,0.220227
0.133713,0.220430
0.155442,0.238367
0.132156,0.218010
0.134136,0.223105
0.132752,0.219714
0.133319,0.222218
0.133243,0.218942
0.132776,0.219765
0.134210,0.220120
0.152537,0.236934
0.132574,0.220124
0.133525,0.218791
0.162425,0.245288
0.133365,0.218829
0.133647,0.220547
0.133070,0.221193
0.134183,0.240533
0.131765,0.216809
0.132003,0.216999
0.132921,0.217073
0.132122,0.216289
0.133253,0.217507
0.132791,0.216931
0.133525,0.217669
0.134072,0.240773
0.132238,0.219235
0.131848,0.216362
0.132606,0.218165
0.133365,0.218533
0.144102,0.231581
0.145441,0.230628
0.134031,0.219872
0.132957,0.240829
0.132775,0.218819
0.130824,0.216369
0.146378,0.231322
0.132379,0.218163
0.133848,0.219319
0.134045,0.220599
0.133644,0.222074
0.134469,0.246779
0.134013,0.220741
0.131472,0.217319
0.131894,0.216854
0.131964,0.217620
0.140321,0.227470
0.140020,0.225638
0.133007,0.218643
0.132686,0.241830
0.145651,0.230303
0.132795,0.219198
0.131668,0.216972
0.132050,0.216906
0.132332,0.217209
0.175929,0.257815
0.132291,0.218842
0.133046,0.242399
0.132409,0.217722
0.133329,0.218529
0.131667,0.217502
0.131881,0.218626
0.132611,0.220245
0.132123,0.217883
0.133558,0.219301
0.133343,0.242362
0.132272,0.218044
0.133044,0.226407
0.131548,0.217027
0.131572,0.216332
0.131992,0.217482
0.131818,0.218872
0.132610,0.218205
0.132855,0.253761
0.132720,0.218758
0.133947,0.219740
0.132360,0.219622
0.131688,0.219159
0.131842,0.218062
0.132631,0.218523
0.133043,0.218358
0.155541,0.242975
0.131763,0.219325
0.131445,0.220353
0.134871,0.219973
0.131304,0.217189
0.131791,0.219336
0.131714,0.217306
0.132196,0.217208
0.157031,0.239629
0.132120,0.217801
0.132252,0.219561
0.132719,0.218377
0.131727,0.217087
0.131886,0.218021
0.132034,0.217375
0.131984,0.218699
0.183383,0.263290
0.131306,0.216878
0.132321,0.217834
0.133701,0.219313
0.132696,0.219203
0.132315,0.218130
0.132072,0.218129
0.132735,0.218313
0.155793,0.237974
0.130762,0.216717
0.131009,0.216445
0.131517,0.215873
0.133024,0.218689
0.132723,0.218797
0.147256,0.232787
0.132073,0.216979
0.154509,0.236903
0.130852,0.216504
0.132028,0.217040
0.146150,0.230861
0.132116,0.217936
0.132792,0.218410
0.133980,0.220541
0.138459,0.244478
0.133061,0.218372
0.130300,0.213466
0.131347,0.213665
0.130630,0.212121
0.136883,0.216223
0.131746,0.214990
0.131812,0.213456
0.132215,0.237268
0.132472,0.215098
0.138459,0.219341
0.129490,0.211458
0.131875,0.214830
0.131768,0.213042
0.131149,0.215184
0.133510,0.217165
0.133200,0.241166
0.132215,0.215952
0.132162,0.215618
0.131718,0.215669
0.160312,0.239617
0.131806,0.214573
0.132128,0.214505
0.133190,0.216944
0.132368,0.247050
0.133259,0.218667
0.131611,0.215750
0.133790,0.217700
0.131495,0.216747
0.133063,0.218656
0.137610,0.223623
0.133286,0.220074
0.133039,0.241969
0.132432,0.219567
0.134099,0.219607
0.133557,0.221596
0.132203,0.217782
0.132094,0.217870
0.132947,0.218247
0.132888,0.218990
0.134690,0.242852
0.136039,0.223514
0.132713,0.218750
0.132897,0.219970
0.132157,0.218177
0.133057,0.221268
0.131982,0.220344
0.134836,0.220702
0.133137,0.242772
0.145031,0.231303
0.133178,0.219888
0.133238,0.220578
0.132876,0.219795
0.132612,0.220520
0.131788,0.219182
0.133799,0.220050
0.133626,0.243361
0.131447,0.217127
0.131789,0.217625
0.132138,0.217737
0.141197,0.229173
0.130747,0.216976
0.158733,0.242160
0.132289,0.218289
0.158816,0.249650
0.130687,0.216059
0.130535,0.217546
0.131083,0.216988
0.130852,0.216934
0.131757,0.219453
0.132897,0.219133
0.132619,0.220371
0.155839,0.238756
0.130250,0.216264
0.130866,0.218727
0.131610,0.217565
0.132351,0.219851
0.131068,0.216682
0.131814,0.219784
0.131982,0.218174
0.163144,0.246534
0.138709,0.225027
0.130409,0.216362
0.130921,0.216720
0.144725,0.230139
0.132339,0.217977
0.146117,0.233884
0.146935,0.231533
0.164602,0.249344
0.133209,0.219119
