starttransfer,total
0.140510,0.221941
0.136006,0.219059
0.129082,0.236210
0.129512,0.212174
0.134365,0.216238
0.135509,0.217926
0.133352,0.216667
0.143881,0.229169
0.137911,0.221910
0.136874,0.222656
0.165235,0.250915
0.138650,0.228479
0.142116,0.229383
0.138081,0.224008
0.140967,0.235525
0.141188,0.227630
0.139648,0.227184
0.141934,0.230632
0.163145,0.250410
0.150642,0.238854
0.139830,0.228804
0.139345,0.227671
0.169406,0.254279
0.140716,0.230671
0.155019,0.243892
0.154492,0.242268
0.163830,0.250490
0.140558,0.228880
0.138858,0.227149
0.139901,0.229068
0.138848,0.227424
0.139637,0.228425
0.140188,0.228604
0.141081,0.229765
0.162661,0.248242
0.139417,0.228883
0.139166,0.227570
0.139650,0.228182
0.140121,0.231266
0.139761,0.230400
0.139534,0.227860
0.140457,0.228652
0.162214,0.246980
0.140517,0.229841
0.139162,0.227617
0.139595,0.228355
0.138898,0.226517
0.139629,0.231394
0.140006,0.234607
0.140764,0.229610
0.158530,0.246166
0.139763,0.227363
0.140177,0.227557
0.140539,0.228868
0.139305,0.228874
0.140627,0.229194
0.154118,0.242204
0.141339,0.256939
0.141545,0.230701
0.139317,0.226434
0.139167,0.225758
0.138538,0.225896
0.176832,0.258617
0.150738,0.236236
0.139749,0.226079
0.140612,0.250419
0.139368,0.226873
0.141988,0.230381
0.140056,0.227222
0.138773,0.226897
0.140504,0.229877
0.152970,0.240626
0.141179,0.230937
0.141330,0.253131
0.141170,0.229796
0.145982,0.235533
0.139182,0.228794
0.140667,0.228684
0.141732,0.232147
0.140648,0.229923
0.141225,0.229684
0.141054,0.254121
0.152870,0.240663
0.149753,0.234736
0.137725,0.223588
0.139369,0.226008
0.139587,0.227997
0.152408,0.237071
0.150591,0.236659
0.142151,0.264012
0.152170,0.238010
0.144145,0.228340
0.138261,0.223485
0.140885,0.228906
0.138838,0.225267
0.149662,0.234495
0.140099,0.226132
0.140324,0.252466
0.138582,0.225006
0.140091,0.228638
0.152517,0.238208
0.139361,0.227808
0.168085,0.254456
0.140338,0.228661
0.139596,0.228966
0.154096,0.266605
0.140846,0.230620
0.139360,0.228930
0.138872,0.226947
0.138678,0.228680
0.145391,0.234126
0.139158,0.227753
0.140522,0.229283
0.139973,0.252611
0.140460,0.230208
0.148524,0.236713
0.138845,0.227208
0.138818,0.226192
0.139464,0.227837
0.140021,0.230282
