starttransfer,total
0.161334,0.244630
0.136334,0.216503
0.137413,0.220410
0.140458,0.248293
0.139880,0.223146
0.153219,0.232809
0.138774,0.224517
0.141991,0.226500
0.161264,0.244995
0.143502,0.230895
0.148704,0.236027
0.169541,0.277518
0.139965,0.224528
0.140124,0.224734
0.142734,0.229436
0.139604,0.225601
0.140003,0.228631
0.139606,0.226514
0.141149,0.227521
0.144242,0.254016
0.153819,0.240257
0.139129,0.225599
0.138730,0.225058
0.139862,0.226000
0.143182,0.229894
0.140669,0.227711
0.140602,0.231485
0.164573,0.252080
0.140275,0.228270
0.142400,0.229357
0.138234,0.225888
0.140371,0.229818
0.141527,0.236690
0.141366,0.229312
0.143863,0.231046
0.169473,0.253690
0.141447,0.229871
0.139041,0.225249
0.140643,0.227366
0.155520,0.242388
0.140088,0.228447
0.139678,0.225834
0.140441,0.228794
0.163968,0.246845
0.139070,0.223795
0.138811,0.224706
0.138474,0.225555
0.139069,0.227532
0.144425,0.230277
0.139966,0.226037
0.140210,0.226580
0.200389,0.281124
0.139318,0.225784
0.139723,0.225184
0.139886,0.224857
0.140324,0.225671
0.140761,0.226618
0.140154,0.226662
0.141112,0.227674
0.163943,0.246655
0.139881,0.225625
0.139903,0.225410
0.138793,0.224530
0.139214,0.224828
0.140182,0.226015
0.141281,0.227482
0.139953,0.225420
0.162958,0.245794
0.140453,0.226554
0.139602,0.225946
0.139964,0.226423
0.140429,0.226272
0.141037,0.226258
0.140219,0.226276
0.141606,0.249151
0.139783,0.225248
0.141419,0.224629
0.140194,0.222951
0.139542,0.223341
0.140317,0.226333
0.140613,0.225850
0.140413,0.226097
0.142745,0.258096
0.140355,0.226408
0.147727,0.229271
0.139100,0.222636
0.147922,0.230461
0.138910,0.221731
0.144473,0.228730
0.140745,0.225216
0.141274,0.250325
0.139362,0.223895
0.139745,0.225179
0.168645,0.252366
0.139590,0.222429
0.139891,0.222489
0.139680,0.222691
0.139419,0.223077
0.140878,0.248310
0.140134,0.223955
0.140738,0.231648
0.138879,0.224417
0.141188,0.226602
0.139423,0.224752
0.140852,0.226758
0.139914,0.224917
0.141576,0.250388
0.154796,0.240839
0.139902,0.226051
0.139282,0.224943
0.140855,0.226446
0.140263,0.226078
0.140612,0.226466
0.140443,0.226814
0.141065,0.251155
0.140489,0.227446
0.141289,0.227140
0.140474,0.227334
0.141931,0.231281
0.141768,0.228614
0.143633,0.231521
0.141441,0.228453
0.141899,0.251887
0.140488,0.226641
0.140805,0.226349
0.141625,0.227919
0.139099,0.225438
0.142820,0.229297
0.140119,0.239232
0.141333,0.226942
0.143533,0.253029
0.154295,0.239198
0.152336,0.238047
0.139580,0.226189
0.179973,0.264894
0.142796,0.229107
0.141106,0.228442
0.141641,0.228481
0.142445,0.251268
0.141780,0.228697
0.144825,0.231732
0.141716,0.227342
0.140323,0.225770
0.140339,0.225973
0.156593,0.241425
0.143896,0.230965
0.144645,0.252991
0.140720,0.226415
0.142223,0.227987
0.152306,0.236054
0.141748,0.230283
0.139924,0.225744
0.140704,0.227317
0.140608,0.228400
0.141078,0.246807
0.142224,0.226798
0.140924,0.223481
0.139020,0.222444
0.153396,0.238250
0.139840,0.224554
0.142631,0.228980
0.140841,0.225729
0.165030,0.249058
0.145199,0.232434
0.141942,0.226608
0.142181,0.228030
0.139571,0.226375
0.141142,0.226937
0.145417,0.234787
0.160733,0.246256
0.172895,0.257799
0.139402,0.225713
0.140147,0.224821
0.139344,0.224689
0.167907,0.250608
0.142574,0.232688
0.154440,0.240123
0.140583,0.227160
0.164344,0.251477
0.139657,0.225842
0.142555,0.229111
0.138992,0.224749
0.139036,0.224235
0.141074,0.226895
0.139929,0.227876
0.146956,0.237053
0.163222,0.245661
0.138995,0.224107
0.142124,0.227839
0.153074,0.237683
0.153269,0.239002
0.139840,0.225336
0.139688,0.225651
0.140853,0.228798
0.168505,0.250582
0.142574,0.229061
0.139474,0.226347
0.138995,0.226994
0.140512,0.227858
0.155635,0.240681
0.158592,0.244426
0.139161,0.225606
0.163265,0.245799
0.154105,0.238535
0.140567,0.225564
0.141430,0.229126
0.142010,0.227575
0.140050,0.226182
0.150721,0.236093
0.141452,0.230288
0.164149,0.248984
0.141345,0.227391
0.141018,0.226727
0.140246,0.228451
0.139919,0.228672
0.172745,0.256864
0.148940,0.229292
0.148789,0.233599
0.153273,0.240523
0.149290,0.229847
0.139609,0.219381
0.136491,0.217395
0.137853,0.218916
0.138705,0.220748
0.139486,0.222154
0.142300,0.247538
0.140391,0.220609
0.140601,0.222696
0.139840,0.220878
0.139029,0.220645
0.142055,0.224831
0.151269,0.233528
0.146869,0.229768
0.140489,0.246940
0.140222,0.222184
0.142967,0.225029
0.139751,0.220998
0.138535,0.221150
0.138654,0.221276
0.139796,0.223365
0.141876,0.226498
0.139471,0.245815
0.143169,0.226437
0.139764,0.221816
0.140294,0.221908
0.140861,0.225057
0.138724,0.222060
0.139185,0.225961
0.139955,0.230578
0.139547,0.244621
0.141300,0.222462
0.139438,0.222891
0.139471,0.221818
0.138751,0.220697
0.148793,0.228206
