starttransfer,total
0.146853,0.254192
0.136168,0.216742
0.165287,0.242759
0.136546,0.218862
0.139024,0.225688
0.138884,0.222202
0.139350,0.222458
0.140306,0.224031
0.140164,0.248827
0.142436,0.230600
0.140856,0.227193
0.140415,0.225314
0.139619,0.225533
0.138856,0.225081
0.142254,0.232072
0.141310,0.227650
0.139974,0.247978
0.139732,0.226569
0.139743,0.226483
0.143860,0.232328
0.140941,0.227828
0.140124,0.227104
0.139880,0.226179
0.140018,0.226311
0.168182,0.254469
0.140197,0.227222
0.140178,0.228007
0.140376,0.226581
0.140131,0.227703
0.143607,0.232181
0.140860,0.227514
0.141327,0.228568
0.164787,0.248262
0.140732,0.227973
0.143807,0.232935
0.141244,0.227872
0.139916,0.226359
0.140228,0.226048
0.140975,0.229577
0.143732,0.258684
0.164561,0.248931
0.140922,0.227761
0.140424,0.226975
0.170205,0.253936
0.141955,0.230590
0.140828,0.227667
0.139629,0.225774
0.140017,0.226699
0.163032,0.247251
0.143693,0.233038
0.140897,0.227820
0.144716,0.231890
0.140469,0.227910
0.140161,0.229042
0.143883,0.232679
0.141051,0.227639
0.162897,0.246500
0.140612,0.226640
0.141736,0.228656
0.144060,0.233159
0.140753,0.227605
0.139268,0.225567
0.140044,0.226614
0.140727,0.228212
0.146907,0.234671
0.140918,0.224552
0.140117,0.224689
0.144970,0.229155
0.141218,0.225867
0.140332,0.223115
0.140909,0.225198
0.142196,0.250199
0.137726,0.220080
0.135849,0.217427
0.137906,0.218335
0.136220,0.215871
0.139731,0.222263
0.145760,0.229554
0.139667,0.222773
0.141395,0.250911
0.154704,0.238287
0.140292,0.224055
0.138781,0.222666
0.138356,0.225082
0.169361,0.251366
0.142125,0.229850
0.143877,0.230221
0.140319,0.249550
0.140226,0.226059
0.138184,0.224272
0.141699,0.229545
0.138672,0.226485
0.139254,0.225517
0.141005,0.227359
0.140864,0.227673
0.144394,0.255572
0.140966,0.227581
0.137924,0.223960
0.138736,0.225112
0.139416,0.226098
0.143030,0.232486
0.139820,0.226212
0.140824,0.228035
0.141177,0.249046
0.141419,0.228056
0.140984,0.229580
0.138953,0.225305
0.139136,0.226427
0.139406,0.226158
0.139184,0.226161
0.142419,0.230985
0.140480,0.248791
0.139985,0.225670
0.140121,0.226752
0.139523,0.226376
0.141940,0.231261
0.140212,0.227555
0.140033,0.226163
0.140576,0.226612
0.164270,0.249538
0.146005,0.234475
0.138528,0.223584
0.138640,0.222671
0.140027,0.225411
0.140832,0.226668
0.170890,0.259133
0.142188,0.229791
0.163302,0.243958
0.137325,0.220056
0.138316,0.221212
0.138683,0.221697
0.140397,0.225658
0.137401,0.219577
0.139002,0.224283
0.139113,0.223053
0.166526,0.250507
0.142206,0.226511
0.138609,0.223283
0.139032,0.223646
0.138144,0.219969
0.142150,0.227619
0.140085,0.224178
0.139748,0.223443
0.162805,0.243943
0.138895,0.223907
0.140391,0.227184
0.138395,0.223606
0.138561,0.226314
0.138770,0.225055
0.138917,0.225230
0.142841,0.231101
0.161679,0.246235
0.153230,0.239838
0.137702,0.224084
0.138032,0.226876
0.142175,0.230639
0.138633,0.224287
0.139052,0.227121
0.139602,0.248606
0.137999,0.221253
0.141553,0.243526
0.137981,0.221869
0.137736,0.223780
0.139339,0.225508
0.138302,0.226661
0.141632,0.230465
0.139846,0.248184
0.166850,0.247300
0.140922,0.226025
0.136540,0.222142
0.140762,0.227297
0.139090,0.225330
0.139198,0.223916
0.138733,0.223662
0.152278,0.259384
0.147426,0.235849
0.139086,0.224851
0.137139,0.222934
0.138682,0.224734
0.138527,0.227419
0.141134,0.230239
0.138942,0.226211
0.138883,0.248092
0.139320,0.226783
0.138857,0.227705
0.139475,0.225956
0.162827,0.248432
0.137965,0.222721
0.138536,0.222981
0.139537,0.223073
0.141791,0.251754
0.136915,0.219780
0.139760,0.224398
0.137988,0.221965
0.138188,0.223150
0.142419,0.231499
0.139764,0.225807
0.139574,0.224769
0.139595,0.258355
0.138916,0.224863
0.148060,0.247853
0.162469,0.253495
0.148879,0.240536
0.146389,0.237972
0.145503,0.237331
0.148493,0.261637
0.138623,0.225040
0.139411,0.224870
0.169389,0.251648
0.138198,0.224867
0.139168,0.225316
0.139876,0.225961
0.140759,0.227200
0.139714,0.249295
0.138137,0.224458
0.143190,0.230017
0.139891,0.225529
0.141102,0.227356
0.140611,0.228316
0.137705,0.224360
0.140215,0.226883
0.140213,0.249923
0.140174,0.227250
0.139990,0.226277
