starttransfer,total
0.140893,0.221751
0.130521,0.211016
0.129955,0.213191
0.133562,0.215867
0.133214,0.215865
0.136848,0.221074
0.138775,0.222354
0.207754,0.287273
0.136522,0.221455
0.140023,0.228006
0.136438,0.221975
0.136544,0.226343
0.137458,0.226528
0.138126,0.225782
0.138403,0.227367
0.176073,0.262832
0.135762,0.225700
0.146030,0.237741
0.138572,0.229001
0.138059,0.229776
0.143608,0.235417
0.144272,0.235224
0.152750,0.242958
0.204514,0.294001
0.138064,0.229104
0.152604,0.243364
0.150446,0.244178
0.152077,0.242722
0.152687,0.244467
0.138979,0.231485
0.140211,0.231827
0.173586,0.264847
0.138819,0.230721
0.139519,0.232641
0.148751,0.241043
0.139967,0.232299
0.140706,0.232222
0.144693,0.237483
0.139699,0.256910
0.139072,0.230718
0.152819,0.243536
0.137223,0.228850
0.142492,0.235319
0.137218,0.230147
0.141642,0.235669
0.138612,0.230048
0.138518,0.253154
0.170316,0.259995
0.136807,0.228141
0.139803,0.232958
0.137156,0.229632
0.137725,0.228721
0.139410,0.231465
0.140461,0.232319
0.139079,0.254877
0.136392,0.228595
0.145765,0.235182
0.138286,0.227990
0.139349,0.230731
0.139159,0.230432
0.138437,0.229075
0.141935,0.234920
0.140238,0.256299
0.146530,0.238085
0.136834,0.228849
0.137385,0.228904
0.137198,0.228697
0.138803,0.229322
0.143226,0.236361
0.138367,0.230218
0.139126,0.281967
0.148328,0.235885
0.138027,0.227104
0.145322,0.235494
0.144201,0.234512
0.146698,0.236667
0.138994,0.230747
0.139313,0.229785
0.139877,0.256290
0.138771,0.229859
0.138887,0.227073
0.139058,0.227917
0.140526,0.229765
0.140126,0.237693
0.138824,0.227469
0.140447,0.231268
0.140143,0.252639
0.167514,0.254344
0.138942,0.226835
0.139205,0.227230
0.141137,0.228544
0.137327,0.226716
0.137378,0.227759
0.137816,0.226951
0.164362,0.253321
0.138858,0.228783
0.138264,0.228785
0.138457,0.229226
0.139698,0.231029
0.139128,0.230536
0.138945,0.232666
0.137928,0.230211
0.162734,0.251799
0.138757,0.230823
0.138786,0.229871
0.139750,0.231797
0.140445,0.232240
0.137723,0.229302
0.138086,0.230670
0.138776,0.230309
0.182178,0.269039
0.156595,0.247083
0.148570,0.240183
0.138854,0.231908
0.140003,0.233092
0.144089,0.236751
0.139302,0.232401
0.138734,0.230951
0.161975,0.250409
0.139827,0.232498
0.144622,0.240123
0.139349,0.231370
0.138574,0.229866
0.138364,0.230320
0.138218,0.231428
0.144548,0.237066
0.161640,0.251715
0.168006,0.258450
0.138008,0.230228
0.139796,0.231817
0.143113,0.234820
0.152992,0.244051
0.141925,0.234084
0.138776,0.251537
0.138754,0.231018
0.151158,0.241045
0.150504,0.238609
0.139558,0.229521
0.138371,0.227913
0.138331,0.228210
0.144066,0.234469
0.151306,0.264820
0.138312,0.230894
0.138544,0.229969
0.139984,0.233444
0.145707,0.237380
0.151138,0.241591
0.139069,0.227305
0.140262,0.228544
0.139664,0.257103
0.143589,0.233898
0.136164,0.223867
0.141461,0.234160
0.137951,0.223997
0.146326,0.231340
0.143170,0.230569
0.138065,0.227053
0.138006,0.255139
0.137586,0.225150
0.147436,0.231336
0.142352,0.229264
0.138836,0.227007
0.143264,0.230304
0.138960,0.227387
0.140451,0.229181
0.143799,0.258340
0.138465,0.228560
0.166409,0.250610
0.138704,0.225667
0.138521,0.227465
0.143792,0.232201
0.137698,0.227861
0.140571,0.230543
0.137918,0.251649
0.150641,0.239339
0.143904,0.234454
0.139251,0.230756
0.139103,0.230754
0.136855,0.227454
0.139095,0.230864
0.143326,0.235380
0.137917,0.251811
0.151938,0.243384
0.149753,0.240362
0.139413,0.230678
0.156065,0.247998
0.137980,0.229933
0.138332,0.230057
0.138441,0.230166
0.149171,0.262300
0.143276,0.236343
0.137901,0.231340
0.142577,0.246686
0.142472,0.234555
0.137462,0.225800
0.142073,0.230130
0.137386,0.226766
0.163744,0.251510
0.137550,0.226523
0.141082,0.232278
0.144501,0.234220
0.137519,0.227972
0.138502,0.228868
0.137339,0.226945
0.139180,0.230023
0.168075,0.257106
0.138240,0.229561
0.167578,0.258469
0.142844,0.246425
0.140582,0.229066
0.140347,0.227084
0.135759,0.222489
0.138381,0.225603
0.162356,0.246827
0.138403,0.227594
0.144012,0.234419
0.138244,0.229070
0.138471,0.228266
0.138924,0.229551
0.138696,0.228666
0.143676,0.235270
